#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CCL11	IL10	9606.ENSP00000302234	9606.ENSP00000412237	0	0	0	0	0.062	0	0	0.834	0.838
CCL2	PTPN22	9606.ENSP00000225831	9606.ENSP00000352833	0	0	0	0	0.075	0	0	0.193	0.221
CCL2	WISP1	9606.ENSP00000225831	9606.ENSP00000250160	0	0	0	0	0.098	0	0	0.181	0.229
CCL2	TNFSF15	9606.ENSP00000225831	9606.ENSP00000363157	0	0	0	0	0	0	0	0.282	0.282
CCL2	TH	9606.ENSP00000225831	9606.ENSP00000370571	0	0	0	0	0	0	0	0.282	0.282
CCL2	IL23R	9606.ENSP00000225831	9606.ENSP00000321345	0	0	0	0	0	0	0	0.325	0.325
CCL2	ITGA4	9606.ENSP00000225831	9606.ENSP00000380227	0	0	0	0	0	0	0	0.370	0.370
CCL2	PDGFB	9606.ENSP00000225831	9606.ENSP00000330382	0	0	0	0	0.065	0	0	0.469	0.482
CCL2	NOD2	9606.ENSP00000225831	9606.ENSP00000300589	0	0	0	0	0.066	0	0	0.518	0.530
CCL2	JAK2	9606.ENSP00000225831	9606.ENSP00000371067	0	0	0	0	0.062	0	0	0.521	0.531
CCL2	IRF7	9606.ENSP00000225831	9606.ENSP00000380697	0	0	0	0	0.062	0	0	0.529	0.539
CCL2	CTLA4	9606.ENSP00000225831	9606.ENSP00000303939	0	0	0	0	0.065	0	0	0.607	0.616
CCL2	MMP9	9606.ENSP00000225831	9606.ENSP00000361405	0	0	0	0	0.076	0	0	0.779	0.787
CCL2	IL12B	9606.ENSP00000225831	9606.ENSP00000231228	0	0	0	0	0.062	0	0.900	0.297	0.928
CCL2	IL10	9606.ENSP00000225831	9606.ENSP00000412237	0	0	0	0	0	0	0.900	0.901	0.989
CTLA4	NOD2	9606.ENSP00000303939	9606.ENSP00000300589	0	0	0	0	0.094	0	0	0.420	0.452
CTLA4	FUT2	9606.ENSP00000303939	9606.ENSP00000387498	0	0	0	0	0.065	0	0	0.194	0.214
CTLA4	TNFSF15	9606.ENSP00000303939	9606.ENSP00000363157	0	0	0	0	0	0	0	0.358	0.358
CTLA4	IRF7	9606.ENSP00000303939	9606.ENSP00000380697	0	0	0	0	0	0	0	0.391	0.390
CTLA4	MMP9	9606.ENSP00000303939	9606.ENSP00000361405	0	0	0	0	0.085	0	0	0.413	0.440
CTLA4	IL23R	9606.ENSP00000303939	9606.ENSP00000321345	0	0	0	0	0	0	0	0.594	0.594
CTLA4	JAK2	9606.ENSP00000303939	9606.ENSP00000371067	0	0	0	0	0	0.281	0	0.504	0.628
CTLA4	PTPN22	9606.ENSP00000303939	9606.ENSP00000352833	0	0	0	0	0.097	0	0	0.753	0.767
CTLA4	IL10	9606.ENSP00000303939	9606.ENSP00000412237	0	0	0	0	0.062	0	0	0.873	0.876
CTLA4	ITGA4	9606.ENSP00000303939	9606.ENSP00000380227	0	0	0	0	0.070	0	0.900	0.739	0.973
DRD4	TH	9606.ENSP00000176183	9606.ENSP00000370571	0	0	0	0	0	0	0	0.530	0.530
FUT1	FUT2	9606.ENSP00000312021	9606.ENSP00000387498	0	0	0	0.960	0.066	0	0.800	0.907	0.812
FUT2	NOD2	9606.ENSP00000387498	9606.ENSP00000300589	0	0	0	0	0	0	0	0.520	0.520
FUT2	IL23R	9606.ENSP00000387498	9606.ENSP00000321345	0	0	0	0	0	0	0	0.403	0.403
FUT2	PTPN22	9606.ENSP00000387498	9606.ENSP00000352833	0	0	0	0	0	0	0	0.286	0.286
FUT2	TNFSF15	9606.ENSP00000387498	9606.ENSP00000363157	0	0	0	0	0.060	0	0	0.214	0.229
FUT2	IL10	9606.ENSP00000387498	9606.ENSP00000412237	0	0	0	0	0	0	0	0.324	0.323
IL10	IL12B	9606.ENSP00000412237	9606.ENSP00000231228	0	0	0	0	0.063	0	0.900	0.646	0.963
IL10	NOD2	9606.ENSP00000412237	9606.ENSP00000300589	0	0	0	0	0.062	0	0	0.720	0.727
IL10	IL23R	9606.ENSP00000412237	9606.ENSP00000321345	0	0	0	0	0	0	0.600	0.657	0.857
IL10	PDGFB	9606.ENSP00000412237	9606.ENSP00000330382	0	0	0	0	0	0	0	0.325	0.325
IL10	PTPN22	9606.ENSP00000412237	9606.ENSP00000352833	0	0	0	0	0	0	0	0.469	0.469
IL10	MMP9	9606.ENSP00000412237	9606.ENSP00000361405	0	0	0	0	0	0	0.900	0.758	0.974
IL10	TNFSF15	9606.ENSP00000412237	9606.ENSP00000363157	0	0	0	0	0.076	0	0	0.496	0.515
IL10	TH	9606.ENSP00000412237	9606.ENSP00000370571	0	0	0	0	0.062	0	0	0.341	0.355
IL10	JAK2	9606.ENSP00000412237	9606.ENSP00000371067	0	0	0	0	0	0.060	0	0.700	0.706
IL10	ITGA4	9606.ENSP00000412237	9606.ENSP00000380227	0	0	0	0	0	0	0	0.504	0.504
IL10	IRF7	9606.ENSP00000412237	9606.ENSP00000380697	0	0	0	0	0	0	0	0.569	0.569
IL10	PARK7	9606.ENSP00000412237	9606.ENSP00000418770	0	0	0	0	0	0	0	0.157	0.156
IL12B	NOD2	9606.ENSP00000231228	9606.ENSP00000300589	0	0	0	0	0	0	0	0.193	0.193
IL12B	TNFSF15	9606.ENSP00000231228	9606.ENSP00000363157	0	0	0	0	0	0	0	0.231	0.231
IL12B	JAK2	9606.ENSP00000231228	9606.ENSP00000371067	0	0	0	0	0	0	0.900	0.140	0.910
IL12B	IL23R	9606.ENSP00000231228	9606.ENSP00000321345	0	0	0	0	0	0.847	0.900	0.369	0.989
IL23R	NOD2	9606.ENSP00000321345	9606.ENSP00000300589	0	0	0	0	0	0	0	0.785	0.785
IL23R	MMP9	9606.ENSP00000321345	9606.ENSP00000361405	0	0	0	0	0	0	0	0.181	0.181
IL23R	ITGA4	9606.ENSP00000321345	9606.ENSP00000380227	0	0	0	0	0	0	0	0.228	0.228
IL23R	PDGFB	9606.ENSP00000321345	9606.ENSP00000330382	0	0	0	0	0	0	0.600	0	0.600
IL23R	PTPN22	9606.ENSP00000321345	9606.ENSP00000352833	0	0	0	0	0.062	0	0	0.595	0.603
IL23R	TNFSF15	9606.ENSP00000321345	9606.ENSP00000363157	0	0	0	0	0	0	0	0.653	0.653
IL23R	JAK2	9606.ENSP00000321345	9606.ENSP00000371067	0	0	0	0	0	0.213	0.900	0.959	0.996
IRF7	SLC15A4	9606.ENSP00000380697	9606.ENSP00000266771	0	0	0	0	0.062	0	0	0.344	0.359
IRF7	NOD2	9606.ENSP00000380697	9606.ENSP00000300589	0	0	0	0	0.147	0	0	0.504	0.559
IRF7	PTPN22	9606.ENSP00000380697	9606.ENSP00000352833	0	0	0	0	0.069	0	0	0.294	0.314
IRF7	MMP9	9606.ENSP00000380697	9606.ENSP00000361405	0	0	0	0	0.103	0	0	0.235	0.284
IRF7	JAK2	9606.ENSP00000380697	9606.ENSP00000371067	0	0	0	0	0.062	0.056	0	0.372	0.396
ITGA4	PTPN22	9606.ENSP00000380227	9606.ENSP00000352833	0	0	0	0	0.126	0.098	0	0	0.178
ITGA4	MMP9	9606.ENSP00000380227	9606.ENSP00000361405	0	0	0	0	0	0	0	0.540	0.540
ITGA4	JAK2	9606.ENSP00000380227	9606.ENSP00000371067	0	0	0	0	0.076	0.075	0	0.153	0.212
JAK2	NOD2	9606.ENSP00000371067	9606.ENSP00000300589	0	0	0	0	0.076	0	0	0.359	0.382
JAK2	PDGFB	9606.ENSP00000371067	9606.ENSP00000330382	0	0	0	0	0	0	0.900	0.195	0.916
JAK2	PTPN22	9606.ENSP00000371067	9606.ENSP00000352833	0	0	0	0	0.083	0.078	0	0.278	0.336
JAK2	MMP9	9606.ENSP00000371067	9606.ENSP00000361405	0	0	0	0	0	0	0	0.532	0.532
JAK2	TNFSF15	9606.ENSP00000371067	9606.ENSP00000363157	0	0	0	0	0	0.056	0	0.335	0.345
JAK2	TH	9606.ENSP00000371067	9606.ENSP00000370571	0	0	0	0	0	0	0	0.157	0.156
MMP9	WISP1	9606.ENSP00000361405	9606.ENSP00000250160	0	0	0	0	0	0	0	0.279	0.279
MMP9	NOD2	9606.ENSP00000361405	9606.ENSP00000300589	0	0	0	0	0.175	0	0	0.261	0.364
MMP9	PDGFB	9606.ENSP00000361405	9606.ENSP00000330382	0	0	0	0	0.076	0	0	0.474	0.494
MMP9	TNFSF15	9606.ENSP00000361405	9606.ENSP00000363157	0	0	0	0	0	0	0	0.193	0.193
MMP9	TH	9606.ENSP00000361405	9606.ENSP00000370571	0	0	0	0	0.062	0	0	0.186	0.204
MMP9	PARK7	9606.ENSP00000361405	9606.ENSP00000418770	0	0	0	0	0	0	0	0.218	0.218
NOD2	SLC15A4	9606.ENSP00000300589	9606.ENSP00000266771	0	0	0	0	0	0.270	0	0.421	0.559
NOD2	PTPN22	9606.ENSP00000300589	9606.ENSP00000352833	0	0	0	0	0.126	0	0	0.504	0.548
NOD2	TNFSF15	9606.ENSP00000300589	9606.ENSP00000363157	0	0	0	0	0	0	0	0.678	0.678
PARK7	TH	9606.ENSP00000418770	9606.ENSP00000370571	0	0	0	0	0	0	0	0.777	0.778
PDGFB	TNFSF15	9606.ENSP00000330382	9606.ENSP00000363157	0	0	0	0	0	0	0	0.181	0.181
PTPN22	SLC15A4	9606.ENSP00000352833	9606.ENSP00000266771	0	0	0	0	0.062	0	0	0.267	0.283
PTPN22	TNFSF15	9606.ENSP00000352833	9606.ENSP00000363157	0	0	0	0	0	0.057	0	0.285	0.296
