Trait	nSNP	overall_p	mscomp	File_ID	First_Author	Year	Reference	Trait_ID_2.0	Trait_long	Trait_class	N0	N1	N	Chip	Population	Collection	sig_overall
20002_1081_Neale_UKBB_1	558	0.137026118148468	PC5 (2e-03)	20002_1081_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1081	stroke (UKBB)	OTH	356305	4836	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1081_PanUKBB_PanUKBBR1_1	566	0.115377465544088	PC5 (2e-03)	20002_1081_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1081	stroke (UKBB)	OTH	430144	6386	436530		Trans-ethnic (AFR,CSA,EUR)	PanUKBB	No
20002_1082_Neale_UKBB_1	558	0.209337034787636	PC4 (2e-02)	20002_1082_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1082	transient ischaemic attack (tia) (UKBB)	OTH	359772	1369	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1082_PanUKBB_PanUKBBR1_1	566	0.305090464918243	PC8 (2e-02)	20002_1082_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1082	transient ischaemic attack (tia) (UKBB)	OTH	418897	1727	420624		European (EUR)	PanUKBB	No
20002_1083_Neale_UKBB_1	558	0.983376591548328	PC7 (2e-01)	20002_1083_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1083	subdural haemorrhage/haematoma (UKBB)	OTH	360987	154	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1083_PanUKBB_PanUKBBR1_1	566	0.775840493162789	PC7 (4e-02)	20002_1083_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1083	subdural haemorrhage/haematoma (UKBB)	OTH	420304	188	420492		European (EUR)	PanUKBB	No
20002_1086_Neale_UKBB_1	558	0.643431269452492	PC9 (5e-02)	20002_1086_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1086	subarachnoid haemorrhage (UKBB)	OTH	360804	337	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1086_PanUKBB_PanUKBBR1_1	566	0.328995257438298	PC9 (2e-02)	20002_1086_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1086	subarachnoid haemorrhage (UKBB)	OTH	420084	436	420520		European (EUR)	PanUKBB	No
20002_1087_Neale_UKBB_1	558	0.835860926108482	PC3 (4e-02)	20002_1087_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1087	leg claudication/ intermittent claudication (UKBB)	OTH	360864	277	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1087_PanUKBB_PanUKBBR1_1	564	0.836526273048305	PC3 (9e-02)	20002_1087_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1087	leg claudication/ intermittent claudication (UKBB)	OTH	420159	355	420514		European (EUR)	PanUKBB	No
20002_1093_Neale_UKBB_1	558	0.42952029918262	PC11 (5e-02)	20002_1093_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1093	pulmonary embolism +/- dvt (UKBB)	OTH	358142	2999	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1093_PanUKBB_PanUKBBR1_1	566	0.645030099985811	PC13 (1e-01)	20002_1093_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1093	pulmonary embolism +/- dvt (UKBB)	OTH	423538	3926	427464		Trans-ethnic (AFR,EUR)	PanUKBB	No
20002_1094_Neale_UKBB_1	558	0.0667580228062546	PC8 (2e-02)	20002_1094_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1094	deep venous thrombosis (dvt) (UKBB)	OTH	353904	7237	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1094_PanUKBB_PanUKBBR1_1	566	0.022675181697188	PC8 (1e-03)	20002_1094_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1094	deep venous thrombosis (dvt) (UKBB)	OTH	427264	9517	436781		Trans-ethnic (AFR,CSA,EUR)	PanUKBB	No
20002_1111_Neale_UKBB_1	558	1.11253692925368e-308	PC13 (6e-253)	20002_1111_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1111	asthma (UKBB)	IMD	319207	41934	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	Yes
20002_1111_PanUKBB_PanUKBBR1_1	566	0	PC13 (2e-272)	20002_1111_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1111	asthma (UKBB)	IMD	389965	56065	446030		Trans-ethnic (AFR,AMR,CSA,EAS,EUR,MID)	PanUKBB	Yes
20002_1112_Neale_UKBB_1	558	0.00618518009695133	PC13 (8e-05)	20002_1112_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1112	chronic obstructive airways disease/copd (UKBB)	IMD	359856	1285	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1112_PanUKBB_PanUKBBR1_1	566	0.00154836283099982	PC13 (1e-05)	20002_1112_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1112	chronic obstructive airways disease/copd (UKBB)	IMD	418967	1615	420582		European (EUR)	PanUKBB	Yes
20002_1113_Neale_UKBB_1	558	0.000332837928559994	PC4 (3e-03)	20002_1113_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1113	emphysema/chronic bronchitis (UKBB)	IMD	356110	5031	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	Yes
20002_1113_PanUKBB_PanUKBBR1_1	566	5.88721448291666e-05	PC13 (9e-05)	20002_1113_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1113	emphysema/chronic bronchitis (UKBB)	IMD	423411	6539	429950		Trans-ethnic (CSA,EUR)	PanUKBB	Yes
20002_1114_Neale_UKBB_1	558	0.0126383802677948	PC13 (5e-04)	20002_1114_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1114	bronchiectasis (UKBB)	OTH	360265	876	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1114_PanUKBB_PanUKBBR1_1	566	0.000602321106599785	PC13 (4e-05)	20002_1114_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1114	bronchiectasis (UKBB)	OTH	419473	1089	420562		European (EUR)	PanUKBB	No
20002_1115_Neale_UKBB_1	558	0.702711417611867	PC12 (8e-02)	20002_1115_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1115	interstitial lung disease (UKBB)	OTH	361020	121	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1115_PanUKBB_PanUKBBR1_1	566	0.904013899013067	PC6 (1e-01)	20002_1115_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1115	interstitial lung disease (UKBB)	OTH	420335	152	420487		European (EUR)	PanUKBB	No
20002_1117_Neale_UKBB_1	558	0.241932752102527	PC11 (2e-02)	20002_1117_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1117	other respiratory problems (UKBB)	OTH	360513	628	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1117_PanUKBB_PanUKBBR1_1	566	0.314718931847195	PC12 (7e-02)	20002_1117_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1117	other respiratory problems (UKBB)	OTH	419754	802	420556		European (EUR)	PanUKBB	No
20002_1120_Neale_UKBB_1	558	0.487377089939158	PC8 (3e-02)	20002_1120_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1120	asbestosis (UKBB)	OTH	360991	150	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1120_PanUKBB_PanUKBBR1_1	566	0.267086275985818	PC11 (1e-02)	20002_1120_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1120	asbestosis (UKBB)	OTH	420298	187	420485		European (EUR)	PanUKBB	No
20002_1121_PanUKBB_PanUKBBR1_1	566	0.0488727001385058	PC11 (4e-02)	20002_1121_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1121	pulmonary fibrosis (UKBB)	OTH	420366	117	420483		European (EUR)	PanUKBB	No
20002_1123_Neale_UKBB_1	558	0.246234379022363	PC1 (4e-02)	20002_1123_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1123	sleep apnoea (UKBB)	OTH	359978	1163	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1123_PanUKBB_PanUKBBR1_1	566	0.366223989901888	PC1 (3e-02)	20002_1123_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1123	sleep apnoea (UKBB)	OTH	419101	1566	420667		European (EUR)	PanUKBB	No
20002_1125_Neale_UKBB_1	558	0.128852578460591	PC13 (2e-02)	20002_1125_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1125	pleurisy (UKBB)	OTH	359921	1220	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1125_PanUKBB_PanUKBBR1_1	566	0.270954763304534	PC9 (6e-02)	20002_1125_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1125	pleurisy (UKBB)	OTH	419047	1567	420614		European (EUR)	PanUKBB	No
20002_1126_Neale_UKBB_1	558	0.132726190467356	PC2 (2e-02)	20002_1126_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1126	spontaneous pneumothorax/recurrent pneumothorax (UKBB)	OTH	360270	871	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1126_PanUKBB_PanUKBBR1_1	566	0.0879801833201613	PC2 (8e-03)	20002_1126_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1126	spontaneous pneumothorax/recurrent pneumothorax (UKBB)	OTH	419475	1100	420575		European (EUR)	PanUKBB	No
20002_1134_Neale_UKBB_1	558	0.97339433179772	PC8 (2e-01)	20002_1134_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1134	oesophageal disorder (UKBB)	OTH	360922	219	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1134_PanUKBB_PanUKBBR1_1	566	0.789964278228685	PC2 (6e-02)	20002_1134_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1134	oesophageal disorder (UKBB)	OTH	420215	281	420496		European (EUR)	PanUKBB	No
20002_1135_Neale_UKBB_1	558	0.0629430024585871	PC12 (7e-04)	20002_1135_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1135	stomach disorder (UKBB)	OTH	360362	779	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1135_PanUKBB_PanUKBBR1_1	566	0.0787673792255086	PC12 (1e-03)	20002_1135_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1135	stomach disorder (UKBB)	OTH	419566	1046	420612		European (EUR)	PanUKBB	No
20002_1136_Neale_UKBB_1	558	0.0498533807637743	PC10 (5e-03)	20002_1136_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1136	liver/biliary/pancreas problem (UKBB)	OTH	360506	635	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1136_PanUKBB_PanUKBBR1_1	566	0.0171224173530099	PC10 (5e-03)	20002_1136_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1136	liver/biliary/pancreas problem (UKBB)	OTH	419751	837	420588		European (EUR)	PanUKBB	No
20002_1137_Neale_UKBB_1	558	0.351190796783278	PC8 (5e-02)	20002_1137_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1137	other abdominal problem (UKBB)	OTH	360719	422	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1137_PanUKBB_PanUKBBR1_1	566	0.410683136711798	PC8 (5e-02)	20002_1137_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1137	other abdominal problem (UKBB)	OTH	419979	558	420537		European (EUR)	PanUKBB	No
20002_1138_Neale_UKBB_1	558	0.00320250339366221	PC6 (2e-02)	20002_1138_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1138	gastro-oesophageal reflux (gord) / gastric reflux (UKBB)	OTH	345931	15210	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1138_PanUKBB_PanUKBBR1_1	566	0.00464234705437492	PC11 (2e-02)	20002_1138_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1138	gastro-oesophageal reflux (gord) / gastric reflux (UKBB)	OTH	421568	20364	441932		Trans-ethnic (AFR,CSA,EAS,EUR,MID)	PanUKBB	No
20002_1139_Neale_UKBB_1	558	0.0903645438472265	PC6 (4e-02)	20002_1139_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1139	oesophagitis/barretts oesophagus (UKBB)	OTH	359997	1144	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1139_PanUKBB_PanUKBBR1_1	566	0.0677011179654571	PC2 (4e-02)	20002_1139_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1139	oesophagitis/barretts oesophagus (UKBB)	OTH	419162	1432	420594		European (EUR)	PanUKBB	No
20002_1142_Neale_UKBB_1	558	0.0234748637162044	PC4 (7e-04)	20002_1142_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1142	gastric/stomach ulcers (UKBB)	OTH	358579	2562	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1142_PanUKBB_PanUKBBR1_1	566	0.0101036282556959	PC10 (9e-03)	20002_1142_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1142	gastric/stomach ulcers (UKBB)	OTH	432877	3534	436411		Trans-ethnic (AFR,CSA,EUR)	PanUKBB	No
20002_1143_Neale_UKBB_1	558	0.254825018920981	PC12 (7e-02)	20002_1143_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1143	gastritis/gastric erosions (UKBB)	OTH	360575	566	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1143_PanUKBB_PanUKBBR1_1	566	0.360826582253192	PC6 (4e-02)	20002_1143_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1143	gastritis/gastric erosions (UKBB)	OTH	419833	779	420612		European (EUR)	PanUKBB	No
20002_1154_Neale_UKBB_1	558	0.396140092869629	PC3 (3e-02)	20002_1154_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1154	irritable bowel syndrome (UKBB)	IMD	352604	8537	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1154_PanUKBB_PanUKBBR1_1	566	0.531290020398934	PC5 (1e-01)	20002_1154_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1154	irritable bowel syndrome (UKBB)	IMD	425748	11159	436907		Trans-ethnic (AFR,CSA,EUR)	PanUKBB	No
20002_1155_Neale_UKBB_1	558	0.505828571004177	PC1 (8e-02)	20002_1155_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1155	hepatitis (UKBB)	INF	360745	396	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1155_PanUKBB_PanUKBBR1_1	566	0.397293519379322	PC1 (5e-02)	20002_1155_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1155	hepatitis (UKBB)	INF	420027	519	420546		European (EUR)	PanUKBB	No
20002_1156_Neale_UKBB_1	558	0.130716165688449	PC11 (4e-02)	20002_1156_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1156	infective/viral hepatitis (UKBB)	INF	360373	768	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1156_PanUKBB_PanUKBBR1_1	566	0.0922804633420758	PC4 (6e-02)	20002_1156_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1156	infective/viral hepatitis (UKBB)	INF	419591	1065	420656		European (EUR)	PanUKBB	No
20002_1157_Neale_UKBB_1	558	0.836591559741237	PC12 (1e-01)	20002_1157_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1157	non-infective hepatitis (UKBB)	IMD	360767	374	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1157_PanUKBB_PanUKBBR1_1	566	0.978396973848412	PC3 (1e-01)	20002_1157_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1157	non-infective hepatitis (UKBB)	IMD	420040	486	420526		European (EUR)	PanUKBB	No
20002_1158_Neale_UKBB_1	558	0.184383188095048	PC5 (1e-02)	20002_1158_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1158	liver failure/cirrhosis (UKBB)	OTH	360877	264	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1158_PanUKBB_PanUKBBR1_1	566	0.0311200962177667	PC5 (3e-02)	20002_1158_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1158	liver failure/cirrhosis (UKBB)	OTH	420173	341	420514		European (EUR)	PanUKBB	No
20002_1161_Neale_UKBB_1	558	0.0128536901941396	PC2 (2e-02)	20002_1161_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1161	gall bladder disease (UKBB)	OTH	360939	202	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1161_PanUKBB_PanUKBBR1_1	566	0.24818131409899	PC3 (4e-02)	20002_1161_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1161	gall bladder disease (UKBB)	OTH	420247	255	420502		European (EUR)	PanUKBB	No
20002_1162_Neale_UKBB_1	558	0.0762809526853778	PC11 (3e-02)	20002_1162_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1162	cholelithiasis/gall stones (UKBB)	OTH	355200	5941	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
