query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	evidence_codes	intersection	gene_names
query_1	TRUE	0.0046227482899013	28	39	4	0.102564102564103	0.142857142857143	GO:0032609	GO:BP	interferon-gamma production	5947	8882	GO:0001816	IMP,IDA,IDA TAS IC,IDA IBA	ENSG00000172575,ENSG00000122223,ILMN_1734937,ENSG00000115604	RASGRP1,CD244,IL23R,IL18R1
query_1	TRUE	0.0046227482899013	202	39	8	0.205128205128205	0.0396039603960396	GO:0010562	GO:BP	positive regulation of phosphorus metabolic process	5947	4726	GO:0006793|GO:0031325|GO:0051174	IMP IBA,IDA IMP,IDA,IMP,IDA,IBA,IC,IMP IC	ENSG00000065361,ENSG00000172575,ENSG00000141068,ENSG00000177628,ENSG00000122223,ENSG00000157873,ILMN_1734937,ENSG00000116288	ERBB3,RASGRP1,KSR1,GBA,CD244,TNFRSF14,IL23R,PARK7
query_1	TRUE	0.005007774294585	62	39	5	0.128205128205128	0.0806451612903226	GO:0002699	GO:BP	positive regulation of immune effector process	5947	1349	GO:0002252|GO:0002684|GO:0002697	IMP,IDA,IBA,ISS,IDA	ENSG00000172575,ENSG00000122223,ENSG00000157873,ILMN_1734937,ENSG00000115604	RASGRP1,CD244,TNFRSF14,IL23R,IL18R1
query_1	TRUE	0.0050268579584197	63	39	5	0.128205128205128	0.0793650793650794	GO:0070661	GO:BP	leukocyte proliferation	5947	19045	GO:0008283	ISS,IDA,IMP,IBA,IC	ENSG00000168071,ENSG00000184293,ENSG00000172575,ENSG00000157873,ILMN_1734937	CCDC88B,CLECL1,RASGRP1,TNFRSF14,IL23R
query_1	TRUE	0.00562341375381784	13	39	3	0.0769230769230769	0.230769230769231	GO:0006636	GO:BP	unsaturated fatty acid biosynthetic process	5947	2620	GO:0006633|GO:0033559	TAS,IDA TAS,ISS	ENSG00000134824,ENSG00000149485,ENSG00000157870	FADS2,FADS1,PRXL2B
query_1	TRUE	0.00562341375381784	220	39	8	0.205128205128205	0.0363636363636364	GO:0002684	GO:BP	positive regulation of immune system process	5947	1334	GO:0002376|GO:0002682|GO:0048518	ISS,IDA,IMP,IDA,IDA IBA TAS,IDA ISS IC,ISS,IDA	ENSG00000168071,ENSG00000184293,ENSG00000172575,ENSG00000122223,ENSG00000157873,ILMN_1734937,ENSG00000116288,ENSG00000115604	CCDC88B,CLECL1,RASGRP1,CD244,TNFRSF14,IL23R,PARK7,IL18R1
query_1	TRUE	0.00562341375381784	355	39	10	0.256410256410256	0.028169014084507	GO:0002682	GO:BP	regulation of immune system process	5947	1332	GO:0002376|GO:0050789	IBA,ISS,TAS,IDA,IMP,IDA,IDA IBA TAS,IDA ISS IC,ISS,IDA	ENSG00000154127,ENSG00000168071,ILMN_1670101,ENSG00000184293,ENSG00000172575,ENSG00000122223,ENSG00000157873,ILMN_1734937,ENSG00000116288,ENSG00000115604	UBASH3B,CCDC88B,CLEC2D,CLECL1,RASGRP1,CD244,TNFRSF14,IL23R,PARK7,IL18R1
query_1	TRUE	0.00562341375381784	695	39	14	0.358974358974359	0.0201438848920863	GO:0002376	GO:BP	immune system process	5947	1038	GO:0008150	IBA,ISS,TAS,IDA,IMP TAS,IDA TAS,TAS,IBA TAS,IDA IBA TAS,IDA ISS IC,ISS,IDA TAS,ISS IBA,TAS	ENSG00000154127,ENSG00000168071,ILMN_1670101,ENSG00000184293,ENSG00000172575,ENSG00000122223,ENSG00000090104,ENSG00000117595,ENSG00000157873,ILMN_1734937,ENSG00000116288,ENSG00000115604,ENSG00000174004,ENSG00000026297	UBASH3B,CCDC88B,CLEC2D,CLECL1,RASGRP1,CD244,RGS1,IRF6,TNFRSF14,IL23R,PARK7,IL18R1,NRROS,RNASET2
query_1	TRUE	0.00617334468065677	225	39	8	0.205128205128205	0.0355555555555556	GO:0010628	GO:BP	positive regulation of gene expression	5947	4786	GO:0010467|GO:0010468|GO:0010604	ISS,IDA,IMP,IDA,IBA,IDA TAS IC,IDA TAS,IDA IBA	ENSG00000168071,ENSG00000184293,ENSG00000172575,ENSG00000122223,ENSG00000157873,ILMN_1734937,ENSG00000116288,ENSG00000115604	CCDC88B,CLECL1,RASGRP1,CD244,TNFRSF14,IL23R,PARK7,IL18R1
query_1	TRUE	0.0080496688056942	174	39	7	0.17948717948718	0.0402298850574713	GO:0045859	GO:BP	regulation of protein kinase activity	5947	13617	GO:0001932|GO:0043549	IBA,IMP,IMP,IDA ISS,IMP,IC,IGI IC	ENSG00000154127,ENSG00000065361,ENSG00000172575,ENSG00000141068,ENSG00000177628,ILMN_1734937,ENSG00000116288	UBASH3B,ERBB3,RASGRP1,KSR1,GBA,IL23R,PARK7
query_1	TRUE	0.00999459283979234	42	39	4	0.102564102564103	0.0952380952380952	GO:0042129	GO:BP	regulation of T cell proliferation	5947	11587	GO:0042098|GO:0050670|GO:0050863	ISS,IDA,IBA,IC	ENSG00000168071,ENSG00000184293,ENSG00000157873,ILMN_1734937	CCDC88B,CLECL1,TNFRSF14,IL23R
