Label	Delta.PC1	Delta.PC2	Delta.PC3	Delta.PC4	Delta.PC5	Delta.PC6	Delta.PC7	Delta.PC8	Delta.PC9	Delta.PC10	Delta.PC11	Delta.PC12	Delta.PC13
Primary biliary cholangitis	0.0247258810317517	0.0432402878532041	-0.0422187794589661	-0.00505086658782538	-0.0346804970141805	-0.0276134410797771	0.0184006412475503	-0.0320140847966917	-0.0160246538423636	0.0021006147639912	-0.000622033901217114	-0.0167563908888858	0.0164982182626397
CR(E)ST syndrome	0.00935616356665313	0.0552036591325303	-0.0341255969173084	0.00868099557709393	-0.00633702275614139	-0.0107447287388127	-0.0026891258612661	-0.0114249729730281	-0.00282350991137272	0.00598239319412161	0.0168682265495075	-0.00527093898536057	0.0170703280908774
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	0.00351366550737127	0.00109657588065329	-0.00952496477173091	0.000163809782358461	-0.00481651888455742	-0.00236743552483302	-0.000280733643275632	-0.00354730836195634	-0.000302878299878719	-0.0013290054494819	-0.000759079938699713	-0.00578944374586818	0.00778626231890514
Other and unspecified disorders involving the immune mechanism, not elsewhere classified	-0.0143161050512846	0.00223628450974464	-0.000358288402795313	0.00098591552388129	0.000957069660828347	0.00774870928239912	0.00871144850052561	-0.0273057983354584	-0.011689625178755	0.00210434495725814	-0.00131340638589806	-0.0159547656649004	0.0277524205327498
Certain disorders involving the immune mechanism	0.00161941891533655	-0.00487432398408263	-0.0181721262188333	-0.00243440164699682	-0.00713496347796525	-0.00605629651001926	0.00245896041663927	-0.00515497602248264	-0.00169311203921946	-0.0027225495880278	-0.00119590430556971	-0.0097356077327409	0.0137779845848649
Idiopathic thrombocytopenic purpura	-0.0121608448179385	0.0111814747493477	-0.0319209295486622	-0.00567677909617008	-0.00627297998469905	-0.0102084823600626	-0.00460530292694551	-0.0189397142800229	-0.010507406037629	-0.000610886709923323	0.00759072363702586	-0.0163878116635046	0.0147575157576254
Sarcoidosis	0.00457318077231963	-0.00741129016075751	-0.0211427777751739	-0.00100732298700463	-0.0109944907447253	-0.00632969340013289	0.00212943549418311	-0.00304384509644686	-0.00224508761746785	-0.00586143868308169	0.00181038329216244	-0.0120744221058136	0.0103709676550285
Dermatomyositis (Miller)	0.0365526791708771	0.0191026879475786	-0.00732944192855851	0.00803464830540785	0.00369525034757556	0.00921836262085418	0.00411936184378846	-0.0105742423942562	-0.0160443500191595	0.0140789796333379	0.00913563683482075	-0.0211045663832031	0.0199478310384723
Dermatomyositis (Rothwell)	0.030766485978193	0.0148999305929843	-0.0170767081287693	-0.00182873125952852	0.00110462979791529	-0.00646514415238492	0.0107295885394875	-0.0049763491605066	-0.0187082367709903	-0.00253763272260772	0.0173292766383766	-0.023800583859724	0.00444430057028076
Diabetic nephropathy	0.0215559094560361	-0.0111653403284863	-0.0184420134503133	-0.0103741305253784	-0.0101352591806882	0.00508132913492325	-0.00315429523772315	-0.0119833134095824	0.00583219160904873	-0.00360289048494815	-0.00257938741461004	-0.00933819942679729	0.0110195434496335
Peripheral atherosclerosis	0.00861132561874281	0.00125932152303982	-0.000222428206776135	0.00308132614595144	-0.00208134556867547	0.00439270209152448	0.00164201873905968	0.0011520756400812	-0.00291936602324059	-0.00329174559030278	0.00382763398341467	-0.00379944991039023	0.0050472082700234
Diabetic retinopathy	0.0128212904300488	-0.00769128117983746	-0.0112649192376728	-0.00799255208146542	-0.00261754495759456	0.000993932372034305	-0.00269515494615173	-0.00672701950497018	0.00163837658278953	-0.00454507534632668	0.000617026103406131	-0.00179974081478753	0.00583996201910058
Type 2 diabetes	0.00725720828976297	-0.004251233269554	-0.000897269339712816	-0.00204638383135615	0.000250406250861522	0.00052409762581098	-0.000391014618297112	-0.000650616441935542	0.000439261691460781	-0.00251346568796511	-0.000987238848915164	-0.00517051660122438	0.00260299063606445
Autoimmune thyroiditis	0.0562263806153745	-0.0268330321625736	-0.036079925536477	-0.0159895750236865	-0.0373903830094501	-0.0149852813871151	0.0168447126430737	-0.0218876379804582	-0.00921928482830659	-0.0197609233247261	0.0172576987972818	-0.0392351488480333	0.017707088245278
ANCA negative EGPA	0.0244418287308232	-0.00242809233456412	-0.00126620161450611	0.000402215484408053	0.0306425592296789	-0.0153092926925414	-0.0306334565240694	-0.00121028149768304	-0.0249551480113851	-8.37946958811312e-05	-0.0262220844853818	0.0167578333789805	0.08939185541658
MPO+ EGPA	0.0266127089648714	-0.0170104070903438	-0.0193818510937582	0.00312137717290306	0.0184767766332916	-0.0402714530663229	-0.0224299295133884	-0.020079960093895	-0.0148151761952559	0.00572857325133155	-0.00638301200421513	0.0138403992876167	0.073992958965258
Eosinophilic Granulomatosis with Polyangiitis	0.0242212039205782	-0.00761025755126761	-0.00564641767871593	-0.000867392914303423	0.0246950618601601	-0.0182083971372157	-0.0288699098091114	-0.0086653443765709	-0.0197976826455156	0.000563034791038267	-0.019468644175997	0.0133933397849721	0.0779290574660404
Eosinophilic Esophagitis	-0.0180345613240588	0.0064152639331008	-0.00238277758478438	0.00805041271347059	0.00637158474732766	0.0116913389916047	-0.0226155109149351	0.00221058339604369	-0.00698477822558396	-0.00510923468429289	-0.00412012099740258	0.0156937825223268	0.0335128243277453
Felty syndrome	0.0676577635063689	0.0220133355978336	0.0113829873943722	-0.0258714699813874	0.00405232735466246	-0.0259228070486964	-0.0217456257681438	-0.0310509769521901	-0.0209359342104514	-0.0183085868309115	0.00940519961821023	-0.0129678178712434	0.0421817448262881
Diabethic neuropathy	0.0249916836830932	-0.0158123803473415	-0.0180690621857541	-0.0126715415081076	-0.00487209454809156	0.00765113492928292	2.15317487514809e-05	-0.00815017461065935	-0.00437855407696457	-0.000211968840456735	-0.00135463334482214	-0.00535792877267768	0.00869760729013801
Multiple Sclerosis	0.00679547378752651	0.0184886530877205	0.0091291241084543	-0.00463806217160531	-0.00781133361346135	-0.0308688150551852	0.00116076779817889	0.0224169438711902	0.0242168859553332	0.00948716314504085	0.00691333483634112	-0.0326722109052566	0.0202393738779682
Gout	-0.00294930046506158	-0.000135198034376218	-0.00427925455504477	0.00603175877080514	-0.00670029303474299	-0.00293328376220589	-0.00231705702216883	-0.00964755389929063	-0.000224927556891903	-0.000959886671906586	0.00505509264005594	-0.00265698980668532	0.00328084287247464
Hypothyroidism (congenital or acquired)	0.0240574060263227	-0.00818408978703775	-0.0189326014410939	-0.000157439976349363	-0.0123792750449629	-0.00417861294809937	-0.00164929024503465	-0.015716276075661	-0.00106705852445685	0.00185769050695765	0.00597769207856827	-0.0137386476127493	0.0130993714673646
Inflammatory Bowel Disease	-0.0826691990549525	-0.00285425213154936	-0.0763511643224436	0.00573625881859345	-0.017064918076106	-0.00931743553636969	-0.0153337942099777	-0.0153972396124611	-0.000347549398592066	0.0303413728864027	0.00743756648422262	-0.0204636092358523	0.0340394401117103
IgA deficiency	0.025552794470808	-0.0206470064849665	-0.0271604096910349	0.028508053649318	-0.00139058754232231	0.0012918169533224	0.00905320359178678	-0.0093738594323978	0.0131012065991453	-0.00107249710136874	-0.0148031016473737	-0.00919775719313313	0.0125343603150418
IIM (Rothwell)	0.0237136752337437	0.0251764901144431	-0.0225982842476462	-0.0113379021682438	-0.00184622831464769	-0.00218985442475931	0.00617146145979331	-0.015680305763524	-0.0158438039401078	0.00470500182693028	0.0137764758318238	-0.024000841786425	0.0106751344668466
Nasal polyp	-0.00159065575748621	-0.0130507285037491	-0.0111167702748411	-0.00983072865976826	0.0176844663035205	-0.00231575445390888	0.00442472483000819	0.00245871552178069	-0.0122312856816664	-0.00838363974965796	-0.0103236639986246	0.0107808166361299	0.0413962820828575
Juvenile Dermatomyositis (Miller)	0.0358542873283106	0.00834015759938944	-0.0071625791496283	0.00992664071137702	-0.00662685881923564	0.0175945718426071	0.0191217814053223	-0.0164732074837843	-0.00761886616398467	-0.00242377739449576	0.00167097453494822	-0.0278417042710007	0.012727807187352
Juvenile Dermatomyositis (Rothwell)	0.01741134398258	0.0201178702537312	-0.00306904688515726	0.00502286021935935	0.00425026895028327	0.000821045334587529	0.022463072790819	-0.00107942100249465	-0.00402720602386767	0.00831422515332352	0.00849424656982154	-0.0349663668461803	-0.00605478144563223
Juvenile Idiopathic Arthritis	0.0306504706407479	0.0211239164493402	-0.037977721694144	-0.000215101395320289	-0.0159733064799547	-0.00184261341283192	-0.00203187166373278	-0.0183083130181582	-0.00485589670035232	0.000720496362589153	0.00952527085374357	-0.0300278968609654	0.0206391396356745
Jo1+ Myositis (Rothwell)	0.0357197488058217	0.0294998221592257	-0.0470448161312001	-0.0101662775977794	0.019123259261187	-0.00965057998673545	0.00513531871589939	-0.0285912136818053	-0.0485682449318145	0.0236483174783153	0.0167792635818342	-0.0019482765828648	0.0122817024665042
Primary sclerosing cholangitis	-0.0123558190051007	-0.00168002339973868	-0.0108787604663009	0.000859029042662004	0.00487690038556903	-0.0154739681247033	-0.00172473210642646	-0.0187407965308007	-0.0029551464223964	0.000307736479471537	0.00640083075939896	-0.0109212344551027	0.0198638625141907
Coeliac disease	0.00320742674223514	-0.0070028206082871	-0.0220147584768008	0.00246526710921797	-0.0140793027120924	0.0139386613946802	0.0384404144003185	-0.00125372847693853	0.00257774881279698	0.00442391316953556	0.0142146067830377	-0.01423067639376	0.0155203683507458
Erythema nodosum	-0.00731973913037201	0.00460870771514225	-0.0293007555588726	0.00130125268303397	-0.00743524373208421	0.00821681459874582	-0.0149843042861325	-0.0079454765844942	-0.00138539393272464	0.00845926470257815	0.00939706554465286	-0.0231916027122395	0.00767703828426269
Lichen planus	0.011113268569994	-0.0184145433866144	-0.0148176088657284	0.0133445627154549	-0.00940262248970027	-0.00402847456736948	0.0101214965881538	-0.0053191764292153	0.00553396839947187	-0.00298091785388442	0.00816681237442093	-0.00274315680425049	0.0121807965609634
Lichen sclerosus et atrophicus	0.00519615253501712	-0.00536831991313086	-0.0203355721288483	0.00288496869302607	0.0006847266909575	-0.002874614527317	0.0164384887214702	-0.00253662651895931	-0.00385700262559578	-0.0125145649318844	0.000718642159254034	0.0049439511059083	0.0136490248429814
Localized scleroderma [morphea]	0.00862884874724186	0.00786156755521955	-0.0480475633092846	0.000884802284072426	-0.00765036455759572	-0.0178724178923406	-0.0186422573819928	-0.0122965078266424	-0.00763081734846661	0.0132431316570235	0.0104787429395665	0.0204745893151683	0.0106249344535232
Psoriasis	0.000769809501315371	0.00183692038771242	-0.00949212105958957	0.00790888138744263	-0.0104595285674671	0.00029391840624702	0.006778557505599	-0.00452885985766064	0.00246704580995186	0.000456625985604203	0.00946081673065327	-0.00893854009510487	0.00821491899686084
Arthropathic psoriasis	0.0106295414547069	0.00697690877716794	-0.0113206493424006	0.00778658286585029	-0.0150943082115897	0.00255483734580534	0.00631664169546261	-0.00760252221411241	-0.00213989735489754	-0.0032607962286575	0.00404368701376131	-0.0103837567719377	0.0132140604939539
Rosacea	-0.0108640600687779	0.00904267945361283	-0.0243307570614108	-0.00285766087022178	-0.00568543781016217	-0.00459763274916033	-0.00574635391496674	0.00103117715696809	0.00186872939724199	0.00220371232307482	0.00522964346929367	-0.00508750977488384	0.00334440757648508
Vitiligo	0.0476841363294163	-0.0333775885857772	-0.0346852116041889	0.0123072227280382	-0.000147931672813323	-0.0203435572534997	0.0088063449396011	-0.0384467827409304	-0.00117824532751783	-0.0345069835416562	0.0100525750899201	-0.0346930026548559	0.0315584391198359
Ankylosing spondylitis	-0.0198420182518062	0.00744722015845306	-0.017651521576503	0.0111249889416309	-0.00734648402422428	-0.00340981971960346	0.00458514169304714	0.00715502648853916	-1.86296937369065e-05	0.0115460458556813	0.0112274243113319	-0.00323008329932087	0.018253628932427
Juvenile rheuma	0.00887278185400801	-0.000961813406488478	-0.036789929132562	0.00556446094658243	-0.0273390769974313	-0.010031157862472	0.0176433922013325	-0.0176368633941388	-0.00757034350335152	0.00746651088116304	0.0236357836777807	-0.0250721902700091	0.0295067473412964
Palindromic rheumatism	0.0223573195017818	-0.0216514953186945	-0.0446254530851849	-0.0303014957606422	0.0287524349602419	-4.16819764443742e-05	0.0181591194428041	0.00138574258704648	-0.0216193913854761	-0.00882381681060903	-0.00405755244087563	-0.0223841539832221	0.0268235384974794
Polymyalgia rheumatica	0.0121941533523615	0.00338450200376559	-0.0104513013880521	-0.000491750555086263	0.000286883862184967	-0.00693137853937377	0.00112483832789837	-8.23344694792939e-05	-0.00420829665577461	0.00527156296914761	-0.00363984270953123	-0.010376281095426	0.0120644852495622
Wegener granulomatosis	0.0104881894778562	0.0142934498315047	-0.0393016545413483	-0.0290711100057993	0.00438733073973599	-0.00748654326254455	0.00815833531567517	-0.0210698449302233	-0.0079712444485855	-0.0176026721030979	0.00842901693675143	-0.00783222874581243	0.0158124657117764
Early-onset Myastenia Gravis	0.0488288613329739	0.0134306850069216	-0.041664333307802	0.00907826136955773	-0.0389087598876134	-0.00804728566514252	-0.0131637258805435	-0.0434862244157632	-0.0275456290190406	-0.0122577057399004	0.0296871943055506	-0.0390634821294739	0.0249602416588528
Late-onset Myastenia Gravis	0.0399028511469314	-0.00174002419230052	-0.045695050995649	0.00196564784565309	-0.0175856105176197	-0.0183996850184646	-0.0083093200870756	-0.0197866262968146	-0.019778125839222	0.00344227046927016	0.0124465768693755	-0.0106159375178327	-0.00614181158276917
Myastenia Gravis	0.0365222844080723	-0.00483165612131375	-0.0280566658535115	-0.00886868630977612	-0.0123405924461786	-0.0143728402532008	-0.0080159124326454	-0.0196135869563432	-0.00980335519476925	0.000736024400597115	0.00585750570056695	-0.0132369962329079	0.00378380086380454
IIM (Miller)	0.0319079226582054	0.0174111966521163	-0.0145717087123855	0.0041056471835734	-0.00535077115897221	0.0100044005127104	0.00742351119881208	-0.0158826288688629	-0.0183668980794707	0.0107918325189859	0.00542513130236189	-0.0209299044977078	0.0238693927911937
Glomerulonephritis	-0.00312852224462845	-0.00235823695871781	-0.0175698950692394	0.00388478940215762	0.00966096616334492	-0.00699149302760466	0.00198952500342145	-0.0142997131292421	-0.0120088255198334	0.0097575808990121	0.00419540536417933	-0.0110207205460192	0.00790585671242383
IgG+ Neuromyelitis Optica	0.0584671471094804	0.0507540900619245	0.00112290817865826	0.00532172350398117	0.0115446357077945	-0.00188951000026459	-0.0102480210129271	-0.0457556808831488	-0.0152920799254577	0.00318974540118185	0.0379517357664606	-0.0462322576644375	0.0218510256450803
Polymyositis (Miller)	0.0326453424151247	0.0210436188104401	-0.028144866974797	-0.00928227177139099	-0.0119196937556183	0.010580962159718	0.00165660908145102	-0.0234185730659655	-0.0312350513324216	0.0143022816903143	0.00657855007053672	-0.0110657881629549	0.041260551184644
Polymyositis (Rothwell)	0.0186546184122789	0.0285479025423206	-0.0320616216310246	-0.018561277183149	0.000444950533497503	-0.0027772617393516	0.00349399524377806	-0.0200812966750596	-0.0235608811482154	0.0134982545774803	0.0128941219270626	-0.0122588738847258	0.0173774816689114
Rheumatoid Arthritis	0.0386716776368505	0.005653822398189	-0.0326749460713117	-0.0195345551571201	-0.00263414080233219	-0.00396167485539135	-0.00156679407791233	-0.0200862466092067	-0.0505649986850324	0.00171553426842962	-0.00175756650398801	-0.0346880434175167	0.0243644702442265
Biological medication for rheuma	0.0067708670856748	0.00618277052781814	-0.0309990976084798	0.008528834152383	-0.00699675405651009	0.000549092672938093	-0.00122089502993862	-0.0135381651488465	-0.0162288500824155	0.00181553097399887	0.00714540479402796	-0.0214789720005979	0.0209861328321147
Sjögren's syndrome	0.0307116884639502	0.0464975727536448	-0.0184938928844615	0.012999356601299	-0.00250453883757963	-0.00209594338933076	0.00712425081203516	-0.0146342409203744	-0.0098369171685346	-0.00498260063274257	0.00974298072247517	-0.0193623674284714	0.0125337440918562
Systemic Lupus Erythematosus	0.0808027831569888	0.115713789408134	-0.0534816659165025	0.0238755173533394	0.0124259430446502	0.00973602519039376	-0.0137720479501424	-0.0168647854075545	0.014960795881125	0.0138082791651971	0.00895731526354195	-0.0187493956411573	0.0259027179018688
Systemic Sclerosis	0.0324097915879047	0.0469222857056575	-0.0142017137017052	0.00404611890627358	-0.0103717815417396	-0.00558162426887384	0.0124739441699149	-0.012354713673027	-0.0119418937247326	0.00211748191907225	0.0147062013762668	-0.0230115040082036	0.018003967785029
Type 1 Diabetes	0.0515193753338656	-0.0232775246149148	-0.0524853242688054	-0.0435374333473946	-0.0269616192630161	0.00274216038873728	-0.0108526442280663	-0.0315776216353861	0.0182029182983956	-0.00222219939805419	-0.00347301347802115	-0.0150067476043743	0.0328365271372024
Ulcerative Colitis	-0.0725135341082935	-0.0113716648535881	-0.0665262693755549	-0.00860499102806944	-0.00111374859441484	-0.0280375941972741	-0.01094383691981	-0.0302581711372553	-0.00560948845844754	0.0699786038621536	0.00443201086445178	-0.00860527078027551	0.0326868828227851
Inflammation of eyelids	-0.00940411284206456	-0.00234101384463371	-0.0142337066918328	-0.0101789527540172	-0.00191386349248458	0.00414629767141209	-0.00360894821849864	0.00292559453791595	-0.00535042014064186	-0.000925345084960067	0.00366794678786325	-0.00866930126989802	-0.00259819304360485
Asthma	-0.00448617826369816	0.000784162750753056	-0.00567158612811689	-0.00662932326569135	0.00567097554835456	0.00347370005907002	-0.00452641056765485	0.00217342466537221	-0.0082600281490194	-0.00300082642300168	-0.00634470701122468	0.0085254203142121	0.0315313043638225
