"File_ID"	"First_Author"	"Year"	"Reference"	"Trait_ID_2.0"	"Trait_long"	"Trait_class"	"N0"	"N1"	"N"	"URL"	"Chip"	"Population"	"Collection"	"Retrieval_date"	"Public"	"Notes"	"Trait"
"IL2_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"IL2"	"Interleukin-2 (IL2) levels"	"BMK"	3475	0	3475	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"IL2_AholaOlli_27989323_1"
"IL2RA_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"IL2RA"	"Interleukin-2 receptor, alpha subunit (IL2ra) levels"	"BMK"	3677	0	3677	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"IL2RA_AholaOlli_27989323_1"
"IL4_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"IL4"	"Interleukin-4 (IL4) levels"	"BMK"	8124	0	8124	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"IL4_AholaOlli_27989323_1"
"IL5_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"IL5"	"Interleukin-5 (IL5) levels"	"BMK"	3364	0	3364	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"IL5_AholaOlli_27989323_1"
"IL6_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"IL6"	"Interleukin-6 (IL6) levels"	"BMK"	8190	0	8190	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"IL6_AholaOlli_27989323_1"
"IL7_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"IL7"	"Interleukin-7 (IL7) levels"	"BMK"	3409	0	3409	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"IL7_AholaOlli_27989323_1"
"IL8_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"IL8"	"Interleukin-8 (IL8, CXCL8)  levels"	"BMK"	3526	0	3526	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"IL8_AholaOlli_27989323_1"
"IL9_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"IL9"	"Interleukin-9 (IL9) levels"	"BMK"	3634	0	3634	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"IL9_AholaOlli_27989323_1"
"MCSF_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"MCSF"	"Macrophage colony-stimulating factor (MCSF, CSF1) levels"	"BMK"	840	0	840	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"MCSF_AholaOlli_27989323_1"
"MIP1A_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"MIP1A"	"Macrophage inflammatory protein-1α (CCL3, MIP1a) levels"	"BMK"	3522	0	3522	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"MIP1A_AholaOlli_27989323_1"
"MIP1B_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"MIP1B"	"Macrophage inflammatory protein-1β (CCL4, MIP1b) levels"	"BMK"	8243	0	8243	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"MIP1B_AholaOlli_27989323_1"
"MIF_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"MIF"	"Macrophage migration inhibitory factor (glycosylation-inhibiting factor) (MIF) levels"	"BMK"	3494	0	3494	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"MIF_AholaOlli_27989323_1"
"MCP1_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"MCP1"	"Monocyte chemotactic protein-1 (CCL2, MCP1) levels"	"BMK"	8293	0	8293	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"MCP1_AholaOlli_27989323_1"
"MCP3_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"MCP3"	"Monocyte specific chemokine 3 (CCL7, MCP3) levels"	"BMK"	843	0	843	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"MCP3_AholaOlli_27989323_1"
"MIG_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"MIG"	"Monokine induced by interferon-gamma (CXCL9, MIG) levels"	"BMK"	3685	0	3685	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"MIG_AholaOlli_27989323_1"
"PDGFbb_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"PDGFbb"	"Platelet derived growth factor BB (PDGFbb) levels"	"BMK"	8293	0	8293	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"PDGFbb_AholaOlli_27989323_1"
"RANTES_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"RANTES"	"Regulated on Activation, Normal T Cell Expressed and Secreted (CCL5, RANTES) levels"	"BMK"	3421	0	3421	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"RANTES_AholaOlli_27989323_1"
"SCF_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"SCF"	"Stem cell factor (SCF) levels"	"BMK"	8290	0	8290	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"SCF_AholaOlli_27989323_1"
"SCGFb_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"SCGFb"	"Stem cell growth factor beta (SCGFb) levels"	"BMK"	3682	0	3682	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"SCGFb_AholaOlli_27989323_1"
"SDF1a_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"SDF1a"	"Stromal cell-derived factor-1 alpha (CXCL12a, SDF1a) levels"	"BMK"	5998	0	5998	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"SDF1a_AholaOlli_27989323_1"
"TRAIL_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"TRAIL"	"TNF-related apoptosis inducing ligand (TRAIL) levels"	"BMK"	8186	0	8186	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"TRAIL_AholaOlli_27989323_1"
"TNFa_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"TNFa"	"Tumor necrosis factor-alpha (TNFα ) levels"	"BMK"	3454	0	3454	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"TNFa_AholaOlli_27989323_1"
"TNFb_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"TNFb"	"Tumor necrosis factor-beta (TNFβ) levels"	"BMK"	1559	0	1559	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"TNFb_AholaOlli_27989323_1"
"VEGF_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"VEGF"	"Vascular endothelial growth factor (VEGF) levels"	"BMK"	7118	0	7118	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"VEGF_AholaOlli_27989323_1"
"ASTER_Ferreira_29083406_1-hg38.tsv.gz"	"Ferreira"	2017	"29083406"	"ASTER"	"Asthma and/or Eczema and/or Rhinitis"	"IMD"	34934	83335	118269	"-"	NA	"European"	NA	2017-03-22T00:00:00Z	"N"	"Study is a Meta-analysis including 13 studies, these files look like 23andMe data only"	"ASTER_Ferreira_29083406_1"
"b30600_PanUKBB_PanUKBBR1_1-hg38.tsv.gz"	"PanUKBB"	2020	"PanUKBBR1"	"b30600"	"Albumin levels (UKBB)"	"BMK"	422605	0	422605	"https://www.dropbox.com/s/fe6tjpaboi8xb27/biomarkers-30600-both_sexes-irnt.tsv.bgz?dl=0"	NA	"Trans-ethnic (AFR,AMR,CSA,EAS,EUR,MID)"	"PanUKBB"	2020-06-18T00:00:00Z	"Y"	"PanUKBB R1 release. Filtered by 300k SNP manifest"	"b30600_PanUKBB_PanUKBBR1_1"
"MS_IMSGC_31604244_1-hg38.tsv.gz"	"IMSGC"	2019	31604244	"MS"	"Multiple Sclerosis"	"IMD"	68374	47429	115803	"-"	"MS chip"	"European (Multiple countries)"	NA	2019-11-05T00:00:00Z	"N"	NA	"MS_IMSGC_31604244_1"
"ASD_ASDWGPGC_28540026_1-hg38.tsv.gz"	"ASDWGPGC"	2017	28540026	"ASD"	"Autism Spectrum Disorder"	"PSD"	7377	6197	13574	"https://atlas.ctglab.nl/traitDB/4"	NA	"European"	NA	2019-10-24T00:00:00Z	"Y"	"hg19. Subset of ASD_ASDWGPGC_28540026_2.tsv.gz. Note: Terms for data sharing apply. See https://www.med.unc.edu/pgc/results-and-downloads/"	"ASD_ASDWGPGC_28540026_1"
"ASD_ASDWGPGC_28540026_2-hg38.tsv.gz"	"ASDWGPGC"	2017	28540026	"ASD"	"Autism Spectrum Disorder"	"PSD"	8567	7387	15954	"https://atlas.ctglab.nl/traitDB/4"	NA	"Trans-ethnic"	NA	2019-10-24T00:00:00Z	"Y"	"hg19. Note: Terms for data sharing apply. See https://www.med.unc.edu/pgc/results-and-downloads/"	"ASD_ASDWGPGC_28540026_2"
"BASC_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"BASC"	"Basophil count"	"BC"	171846	0	171846	"ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/AstleWJ_27863252_GCST004618/harmonised/27863252-GCST004618-EFO_0005090.h.tsv.gz"	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	2019-10-14T00:00:00Z	"Y"	"Harmonized"	"BASC_Astle_27863252_1"
"BASPG_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"BASPG"	"Basophil percentage of granulocytes"	"BC"	170223	0	170223	"ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/AstleWJ_27863252_GCST004634/harmonised/27863252-GCST004634-EFO_0007995.h.tsv.gz"	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	2019-10-14T00:00:00Z	"Y"	"Harmonized"	"BASPG_Astle_27863252_1"
"BASPL_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"BASPL"	"Basophil percentage of Leukocytes"	"BC"	171996	0	171996	"ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/AstleWJ_27863252_GCST004631/harmonised/27863252-GCST004631-EFO_0007992.h.tsv.gz"	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	2019-10-14T00:00:00Z	"Y"	"Harmonized"	"BASPL_Astle_27863252_1"
"EOSC_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"EOSC"	"Eosinophil count"	"BC"	172275	0	172275	"ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/AstleWJ_27863252_GCST004606/harmonised/27863252-GCST004606-EFO_0004842.h.tsv.gz"	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	2019-10-14T00:00:00Z	"Y"	"Harmonized"	"EOSC_Astle_27863252_1"
"EOPG_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"EOPG"	"Eosinophil percentage of granulocytes"	"BC"	170536	0	170536	"ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/AstleWJ_27863252_GCST004617/harmonised/27863252-GCST004617-EFO_0007996.h.tsv.gz"	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	2019-10-14T00:00:00Z	"Y"	"Harmonized"	"EOPG_Astle_27863252_1"
"EOPL_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"EOPL"	"Eosinophil percentage of leucocytes"	"BC"	172378	0	172378	"ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/AstleWJ_27863252_GCST004600/harmonised/27863252-GCST004600-EFO_0007991.h.tsv.gz"	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	2019-10-14T00:00:00Z	"Y"	"Harmonized"	"EOPL_Astle_27863252_1"
"ERYC_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"ERYC"	"Erythrocyte count"	"BC"	172952	0	172952	"ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/AstleWJ_27863252_GCST004601/harmonised/27863252-GCST004601-EFO_0004305.h.tsv.gz"	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	2019-10-14T00:00:00Z	"Y"	"Harmonized"	"ERYC_Astle_27863252_1"
"GRAC_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"GRAC"	"Granulocyte count"	"BC"	169822	0	169822	"ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/AstleWJ_27863252_GCST004614/harmonised/27863252-GCST004614-EFO_0007987.h.tsv.gz"	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	2019-10-14T00:00:00Z	"Y"	"Harmonized"	"GRAC_Astle_27863252_1"
"GRPMW_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"GRPMW"	"Granulocyte percentage of myeloid white cells"	"BC"	169545	0	169545	"ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/AstleWJ_27863252_GCST004608/harmonised/27863252-GCST004608-EFO_0007997.h.tsv.gz"	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	2019-10-14T00:00:00Z	"Y"	"Harmonized"	"GRPMW_Astle_27863252_1"
"HEMAT_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"HEMAT"	"Hematocrit"	"BC"	173039	0	173039	"ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/AstleWJ_27863252_GCST004604/harmonised/27863252-GCST004604-EFO_0004348.h.tsv.gz"	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	2019-10-14T00:00:00Z	"Y"	"Harmonized"	"HEMAT_Astle_27863252_1"
"HBC_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"HBC"	"Hemoglobin concentration"	"BC"	172925	0	172925	"ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/AstleWJ_27863252_GCST004615/harmonised/27863252-GCST004615-EFO_0004509.h.tsv.gz"	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	2019-10-14T00:00:00Z	"Y"	"Harmonized"	"HBC_Astle_27863252_1"
"RETHLC_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"RETHLC"	"High light scatter reticulocyte count"	"BC"	170761	0	170761	"ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/AstleWJ_27863252_GCST004611/harmonised/27863252-GCST004611-EFO_0007986.h.tsv.gz"	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	2019-10-14T00:00:00Z	"Y"	"Harmonized"	"RETHLC_Astle_27863252_1"
"RETHLPRC_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"RETHLPRC"	"High Light Scatter Reticulocyte percentage of red cells"	"BC"	170763	0	170763	"ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/AstleWJ_27863252_GCST004612/harmonised/27863252-GCST004612-EFO_0007986.h.tsv.gz"	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	2019-10-14T00:00:00Z	"Y"	"Harmonized"	"RETHLPRC_Astle_27863252_1"
"RETIF_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"RETIF"	"Immature fraction of reticulocytes"	"BC"	170548	0	170548	"ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/AstleWJ_27863252_GCST004628/harmonised/27863252-GCST004628-EFO_0007986.h.tsv.gz"	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	2019-10-14T00:00:00Z	"Y"	"Harmonized"	"RETIF_Astle_27863252_1"
"LEUC_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"LEUC"	"Leukocyte/ White blood cell count"	"BC"	172435	0	172435	"ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/AstleWJ_27863252_GCST004610/harmonised/27863252-GCST004610-EFO_0004308.h.tsv.gz"	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	2019-10-14T00:00:00Z	"Y"	"Harmonized"	"LEUC_Astle_27863252_1"
"LYMC_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"LYMC"	"Lymphocyte Count"	"BC"	171643	0	171643	"ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/AstleWJ_27863252_GCST004627/harmonised/27863252-GCST004627-EFO_0004587.h.tsv.gz"	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	2019-10-14T00:00:00Z	"Y"	"Harmonized"	"LYMC_Astle_27863252_1"
"LYMPL_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"LYMPL"	"Lymphocyte percentage of Leukocytes"	"BC"	171748	0	171748	"ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/AstleWJ_27863252_GCST004632/harmonised/27863252-GCST004632-EFO_0007993.h.tsv.gz"	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	2019-10-14T00:00:00Z	"Y"	"Harmonized"	"LYMPL_Astle_27863252_1"
"MCH_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"MCH"	"Mean Corpuscular Hemoglobin"	"BC"	172332	0	172332	"ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/AstleWJ_27863252_GCST004630/harmonised/27863252-GCST004630-EFO_0004527.h.tsv.gz"	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	2019-10-14T00:00:00Z	"Y"	"Harmonized"	"MCH_Astle_27863252_1"
