Trait	PC	Delta	Var.Delta	P	First_Author	Trait_ID_2.0	Trait_long	Trait_class	Population	Label	FDR.PC	stars
20002_1387_PanUKBB_PanUKBBR2_1	PC9	-0.00342335574889634	1.81924698609601e-06	0.0111460838452503	PanUKBB	20002_1387	Hayfever/Allergic Rhinitis (UKBB)	IMD	Trans-ethnic (AFR,AMR,CSA,EAS,EUR,MID)	Hayfever/Allergic Rhinitis	0.0631611417897517	""
20002_1387_PanUKBB_PanUKBBR2_1	PC10	-0.00123261977793006	2.22637786060824e-06	0.408750526391928	PanUKBB	20002_1387	Hayfever/Allergic Rhinitis (UKBB)	IMD	Trans-ethnic (AFR,AMR,CSA,EAS,EUR,MID)	Hayfever/Allergic Rhinitis	0.781386548444007	""
20002_1387_PanUKBB_PanUKBBR2_1	PC11	-0.00688001801069908	1.68266600032607e-06	1.13390181752717e-07	PanUKBB	20002_1387	Hayfever/Allergic Rhinitis (UKBB)	IMD	Trans-ethnic (AFR,AMR,CSA,EAS,EUR,MID)	Hayfever/Allergic Rhinitis	5.39737265142933e-06	●
20002_1387_PanUKBB_PanUKBBR2_1	PC12	0.00981626793060481	1.67008792268399e-06	3.05763855930252e-14	PanUKBB	20002_1387	Hayfever/Allergic Rhinitis (UKBB)	IMD	Trans-ethnic (AFR,AMR,CSA,EAS,EUR,MID)	Hayfever/Allergic Rhinitis	5.821743816912e-13	●
20002_1387_PanUKBB_PanUKBBR2_1	PC13	0.0235786209517838	1.84695710706964e-06	1.98549273780984e-67	PanUKBB	20002_1387	Hayfever/Allergic Rhinitis (UKBB)	IMD	Trans-ethnic (AFR,AMR,CSA,EAS,EUR,MID)	Hayfever/Allergic Rhinitis	5.55937966586755e-66	●
AAD_Eriksson_33574239_1	PC1	0.0558506365948349	4.8888221122092e-05	1.37392086695028e-15	Eriksson	AAD	Autoimmune Addison's disease	IMD	European (Finnish + Norwegian)	Autoimmune Addison's disease	1.03807354391799e-14	●
AAD_Eriksson_33574239_1	PC2	-0.0245804429939736	4.84573784026362e-05	0.000413838677355999	Eriksson	AAD	Autoimmune Addison's disease	IMD	European (Finnish + Norwegian)	Autoimmune Addison's disease	0.00312678111780088	●
AAD_Eriksson_33574239_1	PC3	-0.0298559627071679	4.53754809702972e-05	9.32715348156113e-06	Eriksson	AAD	Autoimmune Addison's disease	IMD	European (Finnish + Norwegian)	Autoimmune Addison's disease	4.14927575441411e-05	●
AAD_Eriksson_33574239_1	PC4	-0.00818849254978991	4.68980315695513e-05	0.23180889903707	Eriksson	AAD	Autoimmune Addison's disease	IMD	European (Finnish + Norwegian)	Autoimmune Addison's disease	0.543551901190371	""
AAD_Eriksson_33574239_1	PC5	-0.0147226882553791	3.79956327891546e-05	0.0169185668498534	Eriksson	AAD	Autoimmune Addison's disease	IMD	European (Finnish + Norwegian)	Autoimmune Addison's disease	0.0605506603047385	""
AAD_Eriksson_33574239_1	PC6	-0.0148536470903706	3.53719499448593e-05	0.012507631256017	Eriksson	AAD	Autoimmune Addison's disease	IMD	European (Finnish + Norwegian)	Autoimmune Addison's disease	0.0726052741202938	""
AAD_Eriksson_33574239_1	PC7	0.00341738801717994	3.59599034956876e-05	0.568757650717021	Eriksson	AAD	Autoimmune Addison's disease	IMD	European (Finnish + Norwegian)	Autoimmune Addison's disease	0.83130562155487	""
AAD_Eriksson_33574239_1	PC8	-0.0350176769989746	4.54982577783728e-05	2.0864556371045e-07	Eriksson	AAD	Autoimmune Addison's disease	IMD	European (Finnish + Norwegian)	Autoimmune Addison's disease	2.48288220815436e-06	●
AAD_Eriksson_33574239_1	PC9	0.0101309265552862	4.42327587498617e-05	0.127690937344716	Eriksson	AAD	Autoimmune Addison's disease	IMD	European (Finnish + Norwegian)	Autoimmune Addison's disease	0.399874251158453	""
AAD_Eriksson_33574239_1	PC10	-0.00930405226538061	5.50818410580314e-05	0.209978053211342	Eriksson	AAD	Autoimmune Addison's disease	IMD	European (Finnish + Norwegian)	Autoimmune Addison's disease	0.57455507116694	""
AAD_Eriksson_33574239_1	PC11	0.0215497138274922	4.06184873525121e-05	0.000721520516812909	Eriksson	AAD	Autoimmune Addison's disease	IMD	European (Finnish + Norwegian)	Autoimmune Addison's disease	0.0109604544470443	○
AAD_Eriksson_33574239_1	PC12	-0.0286934090507481	4.19335750675195e-05	9.37995099497298e-06	Eriksson	AAD	Autoimmune Addison's disease	IMD	European (Finnish + Norwegian)	Autoimmune Addison's disease	6.28853052620724e-05	●
AAD_Eriksson_33574239_1	PC13	0.0220957182241984	4.71488466756908e-05	0.00129132689691338	Eriksson	AAD	Autoimmune Addison's disease	IMD	European (Finnish + Norwegian)	Autoimmune Addison's disease	0.00343391956944564	●
AAVMPO_Wong_up_1	PC1	0.0502600164296128	7.43353081448955e-05	5.5621666143082e-09	Wong	AAVMPO	MPO+ AAV	IMD	?	MPO+ AAV	3.00862648683034e-08	●
AAVMPO_Wong_up_1	PC2	0.00526181553553279	6.94943534817943e-05	0.527915587355485	Wong	AAVMPO	MPO+ AAV	IMD	?	MPO+ AAV	0.854720474766024	""
AAVMPO_Wong_up_1	PC3	-0.0126238543150815	6.56640555573153e-05	0.119266697292137	Wong	AAVMPO	MPO+ AAV	IMD	?	MPO+ AAV	0.22350766894117	""
AAVMPO_Wong_up_1	PC4	-0.00235377434227892	6.78730805427876e-05	0.775104980257567	Wong	AAVMPO	MPO+ AAV	IMD	?	MPO+ AAV	0.963470399475472	""
AAVMPO_Wong_up_1	PC5	-0.00891485251315012	5.92507052663904e-05	0.246800011525576	Wong	AAVMPO	MPO+ AAV	IMD	?	MPO+ AAV	0.481812456655115	""
AAVMPO_Wong_up_1	PC6	-0.0118857374614204	5.85461985734143e-05	0.120333169632903	Wong	AAVMPO	MPO+ AAV	IMD	?	MPO+ AAV	0.40761620338794	""
AAVMPO_Wong_up_1	PC7	0.00547612735965818	5.63931320776367e-05	0.465865188230579	Wong	AAVMPO	MPO+ AAV	IMD	?	MPO+ AAV	0.765927624705216	""
AAVMPO_Wong_up_1	PC8	-0.0170174862068695	6.42338517876632e-05	0.0337278752933348	Wong	AAVMPO	MPO+ AAV	IMD	?	MPO+ AAV	0.0984936726357507	""
AAVMPO_Wong_up_1	PC9	-0.0240133165878896	6.47719503462153e-05	0.00284763436066691	Wong	AAVMPO	MPO+ AAV	IMD	?	MPO+ AAV	0.0190911824743303	○
AAVMPO_Wong_up_1	PC10	0.0144812848659303	7.98521332307768e-05	0.105113061475861	Wong	AAVMPO	MPO+ AAV	IMD	?	MPO+ AAV	0.381937536355037	""
AAVMPO_Wong_up_1	PC11	0.0210105498431211	6.01967566077078e-05	0.00676872094614166	Wong	AAVMPO	MPO+ AAV	IMD	?	MPO+ AAV	0.0644382234072686	""
AAVMPO_Wong_up_1	PC12	-0.0351730449587527	5.94089385868444e-05	5.03430491366109e-06	Wong	AAVMPO	MPO+ AAV	IMD	?	MPO+ AAV	3.63080172561012e-05	●
AAVMPO_Wong_up_1	PC13	0.0216242419369606	6.64761771262442e-05	0.00799668390436072	Wong	AAVMPO	MPO+ AAV	IMD	?	MPO+ AAV	0.0183885098477087	○
AAVPR3_Wong_up_1	PC1	-0.0010916969442149	3.94609299266556e-05	0.862032499551621	Wong	AAVPR3	PR3+ AAV	IMD	?	PR3+ AAV	0.904186445054984	""
AAVPR3_Wong_up_1	PC2	0.00357814445452167	3.6882067768251e-05	0.555738491216456	Wong	AAVPR3	PR3+ AAV	IMD	?	PR3+ AAV	0.858001916912573	""
AAVPR3_Wong_up_1	PC3	-0.0181342247339253	3.48604072887239e-05	0.00213075762222851	Wong	AAVPR3	PR3+ AAV	IMD	?	PR3+ AAV	0.00668169224603705	●
AAVPR3_Wong_up_1	PC4	-0.00064552667302152	3.60095244009864e-05	0.914333979578899	Wong	AAVPR3	PR3+ AAV	IMD	?	PR3+ AAV	0.986412647084448	""
AAVPR3_Wong_up_1	PC5	0.0155253497217975	3.14192541766181e-05	0.00560961648898608	Wong	AAVPR3	PR3+ AAV	IMD	?	PR3+ AAV	0.024954929427639	○
AAVPR3_Wong_up_1	PC6	0.00574194505467712	3.10506896359274e-05	0.30280272688763	Wong	AAVPR3	PR3+ AAV	IMD	?	PR3+ AAV	0.626734543289872	""
AAVPR3_Wong_up_1	PC7	0.00555096724371133	2.98368758969038e-05	0.309519896849729	Wong	AAVPR3	PR3+ AAV	IMD	?	PR3+ AAV	0.625112070833349	""
AAVPR3_Wong_up_1	PC8	-0.0116699909210004	3.404009504324e-05	0.0454778201425808	Wong	AAVPR3	PR3+ AAV	IMD	?	PR3+ AAV	0.124410588436026	""
AAVPR3_Wong_up_1	PC9	-0.0242862394673767	3.4316929632277e-05	3.3866157213219e-05	Wong	AAVPR3	PR3+ AAV	IMD	?	PR3+ AAV	0.00037489048449982	●
AAVPR3_Wong_up_1	PC10	0.000386616023907909	4.24076855809855e-05	0.95265844010981	Wong	AAVPR3	PR3+ AAV	IMD	?	PR3+ AAV	0.995058871913097	""
AAVPR3_Wong_up_1	PC11	0.014901445323023	3.18777433922572e-05	0.00830836071756585	Wong	AAVPR3	PR3+ AAV	IMD	?	PR3+ AAV	0.0746184849351197	""
AAVPR3_Wong_up_1	PC12	-0.00940329095557798	3.13548596448117e-05	0.0930942269516919	Wong	AAVPR3	PR3+ AAV	IMD	?	PR3+ AAV	0.196653974447365	""
AAVPR3_Wong_up_1	PC13	0.0197531720256132	3.52190684305747e-05	0.000873165607323689	Wong	AAVPR3	PR3+ AAV	IMD	?	PR3+ AAV	0.00243008076844219	●
ASTAO_Ferreira_30929738_1	PC1	-0.00452129785373508	1.60206381866308e-06	0.000354134536101752	Ferreira	ASTAO	Adult-onset Asthma	IMD	European	Adult-onset Asthma	0.00126742886604838	●
ASTAO_Ferreira_30929738_1	PC2	-0.0013635850745751	1.48732450431303e-06	0.263525688396916	Ferreira	ASTAO	Adult-onset Asthma	IMD	European	Adult-onset Asthma	0.603068402292942	""
ASTAO_Ferreira_30929738_1	PC3	-0.00240605372998287	1.40823806857894e-06	0.0426082432462876	Ferreira	ASTAO	Adult-onset Asthma	IMD	European	Adult-onset Asthma	0.0939390962268141	""
ASTAO_Ferreira_30929738_1	PC4	-0.00417900804979737	1.46117644632147e-06	0.000545861974156193	Ferreira	ASTAO	Adult-onset Asthma	IMD	European	Adult-onset Asthma	0.0060425651092639	●
ASTAO_Ferreira_30929738_1	PC5	0.00314263196680889	1.27488698019998e-06	0.00538115121736533	Ferreira	ASTAO	Adult-onset Asthma	IMD	European	Adult-onset Asthma	0.0243945521853895	○
ASTAO_Ferreira_30929738_1	PC6	0.00280523628591743	1.25850513676406e-06	0.0123987710301807	Ferreira	ASTAO	Adult-onset Asthma	IMD	European	Adult-onset Asthma	0.0726052741202938	""
ASTAO_Ferreira_30929738_1	PC7	-0.00276585519011368	1.20077282777125e-06	0.0116009396364686	Ferreira	ASTAO	Adult-onset Asthma	IMD	European	Adult-onset Asthma	0.104189571074699	""
ASTAO_Ferreira_30929738_1	PC8	0.00297735385513918	1.38535375294364e-06	0.0114195930427569	Ferreira	ASTAO	Adult-onset Asthma	IMD	European	Adult-onset Asthma	0.0428009943964747	○
ASTAO_Ferreira_30929738_1	PC9	-0.00727847807201694	1.38992719157808e-06	6.67158868455617e-10	Ferreira	ASTAO	Adult-onset Asthma	IMD	European	Adult-onset Asthma	1.5122267684994e-08	●
ASTAO_Ferreira_30929738_1	PC10	-0.00287192163402384	1.70488957200325e-06	0.0278422122812377	Ferreira	ASTAO	Adult-onset Asthma	IMD	European	Adult-onset Asthma	0.167925202173913	""
ASTAO_Ferreira_30929738_1	PC11	-0.0056587758002431	1.2842456130511e-06	5.93181418499348e-07	Ferreira	ASTAO	Adult-onset Asthma	IMD	European	Adult-onset Asthma	1.88236236803793e-05	●
ASTAO_Ferreira_30929738_1	PC12	0.00751732709253105	1.27144679138772e-06	2.61525018309247e-11	Ferreira	ASTAO	Adult-onset Asthma	IMD	European	Adult-onset Asthma	3.36448401932977e-10	●
ASTAO_Ferreira_30929738_1	PC13	0.0289753320820102	1.41468774037142e-06	4.41455277160701e-131	Ferreira	ASTAO	Adult-onset Asthma	IMD	European	Adult-onset Asthma	4.20265423856987e-129	●
ASTCO_Ferreira_30929738_1	PC1	-0.0134140638708576	3.09402469992543e-06	2.4209442901448e-14	Ferreira	ASTCO	Childhood-onset Asthma	IMD	European	Childhood-onset Asthma	1.77287612632142e-13	●
ASTCO_Ferreira_30929738_1	PC2	0.00447402219833861	2.87202274410953e-06	0.0082905625310399	Ferreira	ASTCO	Childhood-onset Asthma	IMD	European	Childhood-onset Asthma	0.0428946496171195	○
ASTCO_Ferreira_30929738_1	PC3	-0.000144210686032292	2.71950250715472e-06	0.930314964099098	Ferreira	ASTCO	Childhood-onset Asthma	IMD	European	Childhood-onset Asthma	0.975295325144701	""
ASTCO_Ferreira_30929738_1	PC4	-0.00641001742965959	2.82149400094095e-06	0.000135578068010683	Ferreira	ASTCO	Childhood-onset Asthma	IMD	European	Childhood-onset Asthma	0.00174419352359689	●
ASTCO_Ferreira_30929738_1	PC5	0.00825425326974738	2.4619943190361e-06	1.43595674976925e-07	Ferreira	ASTCO	Childhood-onset Asthma	IMD	European	Childhood-onset Asthma	2.44112647460773e-06	●
ASTCO_Ferreira_30929738_1	PC6	0.0121135700701454	2.43046554629501e-06	7.84151803752985e-15	Ferreira	ASTCO	Childhood-onset Asthma	IMD	European	Childhood-onset Asthma	1.2441875286214e-12	●
ASTCO_Ferreira_30929738_1	PC7	-0.00665741277666332	2.31799023205064e-06	1.22719295491065e-05	Ferreira	ASTCO	Childhood-onset Asthma	IMD	European	Childhood-onset Asthma	0.000527653678000095	●
ASTCO_Ferreira_30929738_1	PC8	0.00714969830703533	2.67505072817476e-06	1.2344580124664e-05	Ferreira	ASTCO	Childhood-onset Asthma	IMD	European	Childhood-onset Asthma	0.000104928931059644	●
ASTCO_Ferreira_30929738_1	PC9	-0.00728342555718473	2.68417268300276e-06	8.76465814884476e-06	Ferreira	ASTCO	Childhood-onset Asthma	IMD	European	Childhood-onset Asthma	0.000130374289964066	●
ASTCO_Ferreira_30929738_1	PC10	-0.00738618410682402	3.29095956832242e-06	4.67030592209024e-05	Ferreira	ASTCO	Childhood-onset Asthma	IMD	European	Childhood-onset Asthma	0.000766574351349984	●
ASTCO_Ferreira_30929738_1	PC11	-0.0163541549204945	2.47960003665113e-06	2.87938952054592e-25	Ferreira	ASTCO	Childhood-onset Asthma	IMD	European	Childhood-onset Asthma	6.85294705889929e-23	●
ASTCO_Ferreira_30929738_1	PC12	0.0210705410685983	2.45487257216089e-06	3.15847738939669e-41	Ferreira	ASTCO	Childhood-onset Asthma	IMD	European	Childhood-onset Asthma	3.00687047470565e-39	●
ASTCO_Ferreira_30929738_1	PC13	0.0532716187263867	2.73148364702059e-06	6.14980763270869e-228	Ferreira	ASTCO	Childhood-onset Asthma	IMD	European	Childhood-onset Asthma	1.46365421658467e-225	●
ATD_Paternoster_26482879_1	PC1	-0.00756901429166398	7.08605901710824e-06	0.00446359456599977	Paternoster	ATD	Atopic Dermatitis	IMD	Trans-ethnic	Atopic Dermatitis	0.013532936391184	○
ATD_Paternoster_26482879_1	PC2	0.0117376119971368	6.42131443110673e-06	3.62164518022429e-06	Paternoster	ATD	Atopic Dermatitis	IMD	Trans-ethnic	Atopic Dermatitis	4.42026437381221e-05	●
ATD_Paternoster_26482879_1	PC3	-0.0026337298636892	6.05375485584117e-06	0.284425201964573	Paternoster	ATD	Atopic Dermatitis	IMD	Trans-ethnic	Atopic Dermatitis	0.43116686667241	""
ATD_Paternoster_26482879_1	PC4	0.00317709120365257	6.41751112338956e-06	0.209790758973714	Paternoster	ATD	Atopic Dermatitis	IMD	Trans-ethnic	Atopic Dermatitis	0.504786710995348	""
ATD_Paternoster_26482879_1	PC5	-0.00682091928873705	5.43388402960011e-06	0.00343251263556761	Paternoster	ATD	Atopic Dermatitis	IMD	Trans-ethnic	Atopic Dermatitis	0.0170195418180227	○
ATD_Paternoster_26482879_1	PC6	0.00747213340730661	5.36055487056018e-06	0.00124963047697164	Paternoster	ATD	Atopic Dermatitis	IMD	Trans-ethnic	Atopic Dermatitis	0.0116632177850686	○
ATD_Paternoster_26482879_1	PC7	0.00123845889995546	5.16919286428605e-06	0.585948773943573	Paternoster	ATD	Atopic Dermatitis	IMD	Trans-ethnic	Atopic Dermatitis	0.83130562155487	""
ATD_Paternoster_26482879_1	PC8	0.00601539888196055	6.06546976288574e-06	0.0145864665718477	Paternoster	ATD	Atopic Dermatitis	IMD	Trans-ethnic	Atopic Dermatitis	0.052204196151876	""
ATD_Paternoster_26482879_1	PC9	0.00150216539656664	6.1006593237772e-06	0.543070668023206	Paternoster	ATD	Atopic Dermatitis	IMD	Trans-ethnic	Atopic Dermatitis	0.828530890958481	""
ATD_Paternoster_26482879_1	PC10	-0.0117858137391281	7.15049871916451e-06	1.04575079107968e-05	Paternoster	ATD	Atopic Dermatitis	IMD	Trans-ethnic	Atopic Dermatitis	0.000191452837136126	●
ATD_Paternoster_26482879_1	PC11	-0.0029382286770246	5.50115805180179e-06	0.210302877517522	Paternoster	ATD	Atopic Dermatitis	IMD	Trans-ethnic	Atopic Dermatitis	0.511001560253807	""
