Trait	nSNP	overall_p	mscomp	First_Author	Reference	Trait_ID_2.0	Trait_long	Trait_class	N0	N1	N	Population	Public	Label
ASTHMA_NAS_FinnGen_FinnGenR7_1	562	1.24985266562243e-65	PC13 (7e-65)	FinnGen	FinnGenR7	ASTHMA_NAS	Asthma (unspecified) (FinnGen)	IMD	180942	20883	201825	European (Finnish)	Y	Asthma (unspecified)
ASTHMA_NONALLERG_FinnGen_FinnGenR7_1	562	7.09536353220328e-14	PC13 (4e-13)	FinnGen	FinnGenR7	ASTHMA_NONALLERG	Non-allergic asthma (mode) (FinnGen)	IMD	300320	8833	309153	European (Finnish)	Y	Non-allergic asthma (mode)
ASTR_Ferreira_29083406_1	565	0.0481271215056876	PC5 (4e-03)	Ferreira	29083406	ASTR	Asthma-only vs. Rhinitis-only	IMD	26125	2048	28173	European	N	Asthma-only vs. Rhinitis-only
AST_Anantharaman_22188591_1	478	0.749328649033069	PC4 (1e-01)	Anantharaman	22188591	AST	Asthma	IMD	490	490	980	East Asian (Chinese)	N	Asthma
AST_Daya_30787307_1	558	0.0524600012995486	PC13 (3e-04)	Daya	30787307	AST	Asthma	IMD	7645	7009	14654	African	Y	Asthma
AST_Demenais_29273806_2	566	3.83062006894724e-204	PC13 (5e-165)	Demenais	29273806	AST	Asthma	IMD	118538	23948	142486	Trans-ethnic (European + Asian + African + Hispanic/Latin American)	Y	Asthma
AST_Ishigaki_doi101101795948_1	529	2.10674394548039e-06	PC4 (9e-03)	Ishigaki	doi101101795948	AST	Asthma	IMD	201592	8216	209808	East Asian (Japanese)	Y	Asthma
AST_Moffatt_20860503_1	516	5.73020579317451e-79	PC13 (1e-71)	Moffatt	20860503	AST	Asthma	IMD	16110	10365	26475	European	Y	Asthma
AST_Myers_24824216_1	528	0.0258300579967457	PC13 (5e-05)	Myers	24824216	AST	Asthma	IMD	1535	1052	2587	European (North America)	Y	Asthma
AST_Myers_24824216_2	528	1.74683327209262e-07	PC13 (9e-08)	Myers	24824216	AST	Asthma	IMD	1535	1019	2554	European (North America)	Y	Asthma
AST_Myers_24824216_3	502	0.736382384853788	PC9 (1e-01)	Myers	24824216	AST	Asthma	IMD	1503	675	2178	African (African Americans + Afro-Caribbean)	Y	Asthma
AST_Myers_24824216_4	502	0.463239894528894	PC13 (2e-02)	Myers	24824216	AST	Asthma	IMD	1503	837	2340	African (African Americans + Afro-Caribbean)	Y	Asthma
AST_Myers_24824216_5	524	0.574696874374472	PC8 (8e-02)	Myers	24824216	AST	Asthma	IMD	792	926	1718	Latin American (Latino)	Y	Asthma
AST_Myers_24824216_6	525	0.88547608513036	PC9 (7e-02)	Myers	24824216	AST	Asthma	IMD	792	710	1502	Latin American (Latino)	Y	Asthma
AST_Sakaue_doi1011012020102320213652_1	534	9.5633089901352e-06	PC13 (2e-03)	Sakaue	doi1011012020102320213652	AST	Asthma	IMD	162933	13015	175948	East Asian (Japanese)	Y	Asthma
ATD_Ishigaki_doi101101795948_1	529	0.05244731241643	PC10 (3e-02)	Ishigaki	doi101101795948	ATD	Atopic Dermatitis	IMD	209651	2385	212036	East Asian (Japanese)	Y	Atopic Dermatitis
ATD_Kubo_BBJ_1	529	0.05244731241643	PC10 (3e-02)	Kubo	BBJ	ATD	Atopic Dermatitis	IMD	209651	2385	212036	East Asian (Japanese)	Y	Atopic Dermatitis
ATD_Paternoster_26482879_1	566	3.27041393693192e-24	PC13 (4e-15)	Paternoster	26482879	ATD	Atopic Dermatitis	IMD	95464	21399	116863	Trans-ethnic	Y	Atopic Dermatitis
ATD_Sakaue_doi1011012020102320213652_1	534	0.148503752755488	PC10 (7e-02)	Sakaue	doi1011012020102320213652	ATD	Atopic Dermatitis	IMD	163807	4296	168103	East Asian (Japanese)	Y	Atopic Dermatitis
ATOPIC_STRICT_FinnGen_FinnGenR7_1	562	3.74761890742732e-35	PC13 (9e-20)	FinnGen	FinnGenR7	ATOPIC_STRICT	Atopic dermatitis, strict definition (FinnGen)	IMD	300873	7895	308768	European (Finnish)	Y	Atopic dermatitis, strict definition
ATOPIC_STRICT_REIMB_FinnGen_FinnGenR7_1	562	4.8979254991195e-38	PC13 (3e-22)	FinnGen	FinnGenR7	ATOPIC_STRICT_REIMB	Atopic dermatitis, strict definition with reimbursement (FinnGen)	IMD	278634	8281	286915	European (Finnish)	Y	Atopic dermatitis, strict definition with reimbursement
AUTOIMMUNE_HYPERTHYROIDISM_FinnGen_FinnGenR7_1	562	1.93361384204631e-22	PC1 (6e-11)	FinnGen	FinnGenR7	AUTOIMMUNE_HYPERTHYROIDISM	Autoimmune hyperthyroidism (FinnGen)	IMD	231654	1421	233075	European (Finnish)	Y	Autoimmune hyperthyroidism
BEHD_Sakaue_doi1011012020102320213652_1	534	0.77285529075897	PC7 (4e-01)	Sakaue	doi1011012020102320213652	BEHD	Behçet's disease	IMD	171966	78	172044	East Asian (Japanese)	Y	Behçet's disease
BSC_Kuiper_24957906_1	565	0.378629517236346	PC7 (7e-02)	Kuiper	24957906	BSC	Birdshot Corioretinopathy	IMD	693	117	810	European	N	Birdshot Corioretinopathy
CDP_Lee_28067912_1	563	4.27877335004748e-06	PC5 (6e-04)	Lee	28067912	CDP	Poor Crohn's Disease Prognosis	IMD	972	1762	2734	European	Y	Poor Crohn's Disease Prognosis
CD_Brant_27693347_1	561	7.41957978526314e-26	PC1 (5e-14)	Brant	27693347	CD	Crohn's Disease	IMD	5002	1646	6648	African (African Americans)	Y	Crohn's Disease
CD_Liu_26192919_1	565	0	PC3 (4e-161)	Liu	26192919	CD	Crohn's Disease	IMD	14957	5956	20913	European	Y	Crohn's Disease
CHILDHOOD_ALLERGY_FinnGen_FinnGenR7_1	562	4.65536554928354e-19	PC13 (5e-17)	FinnGen	FinnGenR7	CHILDHOOD_ALLERGY	Childhood allergy (age < 16) (FinnGen)	IMD	305042	4112	309154	European (Finnish)	Y	Childhood allergy (age < 16)
CHIRBIL_PRIM_FinnGen_FinnGenR7_1	562	2.48858928132397e-17	PC3 (1e-05)	FinnGen	FinnGenR7	CHIRBIL_PRIM	Biliary chirrosis, primary (FinnGen)	IMD	232612	433	233045	European (Finnish)	Y	Primary biliary cholangitis
CHRONLARGE_FinnGen_FinnGenR7_1	562	2.82506068402723e-50	PC1 (3e-28)	FinnGen	FinnGenR7	CHRONLARGE	Crohn's disease of large intestine (FinnGen)	IMD	296008	1220	297228	European (Finnish)	Y	Crohn's disease of large intestine
CHRONNAS_FinnGen_FinnGenR7_1	562	4.11475061057745e-42	PC3 (5e-20)	FinnGen	FinnGenR7	CHRONNAS	Chron's disease NAS (FinnGen)	IMD	296008	1545	297553	European (Finnish)	Y	Chron's disease NAS
CHRONOTH_FinnGen_FinnGenR7_1	562	7.51527828878753e-57	PC1 (5e-30)	FinnGen	FinnGenR7	CHRONOTH	Other Chron's disease (FinnGen)	IMD	296008	1560	297568	European (Finnish)	Y	Other Chron's disease
CHRONSMALL_FinnGen_FinnGenR7_1	562	4.73012196129145e-47	PC1 (4e-29)	FinnGen	FinnGenR7	CHRONSMALL	Crohn's disease of small interstine (FinnGen)	IMD	296008	1501	297509	European (Finnish)	Y	Crohn's disease of small interstine
