study	quant_method	tissue_label	condition_label	qtl_group	tissue_ontology_id	tissue_ontology_term	sample_size	ftp_path	ftp_paths_credible
Alasoo_2018	tx	macrophage	Salmonella_5h	macrophage_Salmonella	CL_0000235	macrophage	84	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/Alasoo_2018/tx/Alasoo_2018_tx_macrophage_Salmonella.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/Alasoo_2018_tx_macrophage_Salmonella.purity_filtered.txt.gz
Alasoo_2018	tx	macrophage	naive	macrophage_naive	CL_0000235	macrophage	84	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/Alasoo_2018/tx/Alasoo_2018_tx_macrophage_naive.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/Alasoo_2018_tx_macrophage_naive.purity_filtered.txt.gz
Alasoo_2018	txrev	macrophage	IFNg_18h	macrophage_IFNg	CL_0000235	macrophage	84	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/Alasoo_2018/txrev/Alasoo_2018_txrev_macrophage_IFNg.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/Alasoo_2018_txrev_macrophage_IFNg.purity_filtered.txt.gz
Alasoo_2018	txrev	macrophage	IFNg_18h+Salmonella_5h	macrophage_IFNg+Salmonella	CL_0000235	macrophage	84	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/Alasoo_2018/txrev/Alasoo_2018_txrev_macrophage_IFNg+Salmonella.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/Alasoo_2018_txrev_macrophage_IFNg+Salmonella.purity_filtered.txt.gz
Alasoo_2018	txrev	macrophage	Salmonella_5h	macrophage_Salmonella	CL_0000235	macrophage	84	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/Alasoo_2018/txrev/Alasoo_2018_txrev_macrophage_Salmonella.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/Alasoo_2018_txrev_macrophage_Salmonella.purity_filtered.txt.gz
Alasoo_2018	txrev	macrophage	naive	macrophage_naive	CL_0000235	macrophage	84	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/Alasoo_2018/txrev/Alasoo_2018_txrev_macrophage_naive.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/Alasoo_2018_txrev_macrophage_naive.purity_filtered.txt.gz
BLUEPRINT	exon	CD4+ T cell	naive	T-cell	CL_0000624	CD4-positive, alpha-beta T cell	167	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/BLUEPRINT/exon/BLUEPRINT_exon_T-cell.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/BLUEPRINT_PE.T-cell_exon.purity_filtered.txt.gz
BLUEPRINT	exon	monocyte	naive	monocyte	CL_0002057	CD14-positive, CD16-negative classical monocyte	191	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/BLUEPRINT/exon/BLUEPRINT_exon_monocyte.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/BLUEPRINT_SE_exon_monocyte.purity_filtered.txt.gz
BLUEPRINT	exon	neutrophil	naive	neutrophil	CL_0000775	neutrophil	196	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/BLUEPRINT/exon/BLUEPRINT_exon_neutrophil.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/BLUEPRINT_SE_exon_neutrophil.purity_filtered.txt.gz
BLUEPRINT	ge	CD4+ T cell	naive	T-cell	CL_0000624	CD4-positive, alpha-beta T cell	167	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/BLUEPRINT/ge/BLUEPRINT_ge_T-cell.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/BLUEPRINT_PE.T-cell_ge.purity_filtered.txt.gz
BLUEPRINT	ge	monocyte	naive	monocyte	CL_0002057	CD14-positive, CD16-negative classical monocyte	191	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/BLUEPRINT/ge/BLUEPRINT_ge_monocyte.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/BLUEPRINT_SE_ge_monocyte.purity_filtered.txt.gz
BLUEPRINT	ge	neutrophil	naive	neutrophil	CL_0000775	neutrophil	196	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/BLUEPRINT/ge/BLUEPRINT_ge_neutrophil.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/BLUEPRINT_SE_ge_neutrophil.purity_filtered.txt.gz
BLUEPRINT	tx	CD4+ T cell	naive	T-cell	CL_0000624	CD4-positive, alpha-beta T cell	167	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/BLUEPRINT/tx/BLUEPRINT_tx_T-cell.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/BLUEPRINT_PE.T-cell_tx.purity_filtered.txt.gz
BLUEPRINT	tx	monocyte	naive	monocyte	CL_0002057	CD14-positive, CD16-negative classical monocyte	191	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/BLUEPRINT/tx/BLUEPRINT_tx_monocyte.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/BLUEPRINT_SE_tx_monocyte.purity_filtered.txt.gz
BLUEPRINT	tx	neutrophil	naive	neutrophil	CL_0000775	neutrophil	196	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/BLUEPRINT/tx/BLUEPRINT_tx_neutrophil.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/BLUEPRINT_SE_tx_neutrophil.purity_filtered.txt.gz
BLUEPRINT	txrev	CD4+ T cell	naive	T-cell	CL_0000624	CD4-positive, alpha-beta T cell	167	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/BLUEPRINT/txrev/BLUEPRINT_txrev_T-cell.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/BLUEPRINT_PE.T-cell_txrev.purity_filtered.txt.gz
BLUEPRINT	txrev	monocyte	naive	monocyte	CL_0002057	CD14-positive, CD16-negative classical monocyte	191	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/BLUEPRINT/txrev/BLUEPRINT_txrev_monocyte.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/BLUEPRINT_SE_txrev_monocyte.purity_filtered.txt.gz
BLUEPRINT	txrev	neutrophil	naive	neutrophil	CL_0000775	neutrophil	196	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/BLUEPRINT/txrev/BLUEPRINT_txrev_neutrophil.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/BLUEPRINT_SE_txrev_neutrophil.purity_filtered.txt.gz
BrainSeq	exon	brain (DLPFC)	naive	brain	UBERON_0009834	dorsolateral prefrontal cortex	479	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/BrainSeq/exon/BrainSeq_exon_brain.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/BrainSeq_exon_brain.purity_filtered.txt.gz
BrainSeq	ge	brain (DLPFC)	naive	brain	UBERON_0009834	dorsolateral prefrontal cortex	479	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/BrainSeq/ge/BrainSeq_ge_brain.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/BrainSeq_ge_brain.purity_filtered.txt.gz
BrainSeq	tx	brain (DLPFC)	naive	brain	UBERON_0009834	dorsolateral prefrontal cortex	479	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/BrainSeq/tx/BrainSeq_tx_brain.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/BrainSeq_tx_brain.purity_filtered.txt.gz
BrainSeq	txrev	brain (DLPFC)	naive	brain	UBERON_0009834	dorsolateral prefrontal cortex	479	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/BrainSeq/txrev/BrainSeq_txrev_brain.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/BrainSeq_txrev_brain.purity_filtered.txt.gz
Braineac2	exon	brain (putamen)	naive	putamen	UBERON_0001874	putamen	102	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/Braineac2/exon/Braineac2_exon_putamen.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/Braineac2_exon_putamen.purity_filtered.txt.gz
Braineac2	exon	brain (substantia_nigra)	naive	substantia_nigra	UBERON_0002038	substantia_nigra	65	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/Braineac2/exon/Braineac2_exon_substantia_nigra.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/Braineac2_exon_substantia_nigra.purity_filtered.txt.gz
Braineac2	ge	brain (putamen)	naive	putamen	UBERON_0001874	putamen	102	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/Braineac2/ge/Braineac2_ge_putamen.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/Braineac2_ge_putamen.purity_filtered.txt.gz
Braineac2	ge	brain (substantia_nigra)	naive	substantia_nigra	UBERON_0002038	substantia_nigra	65	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/Braineac2/ge/Braineac2_ge_substantia_nigra.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/Braineac2_ge_substantia_nigra.purity_filtered.txt.gz
Braineac2	tx	brain (putamen)	naive	putamen	UBERON_0001874	putamen	102	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/Braineac2/tx/Braineac2_tx_putamen.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/Braineac2_tx_putamen.purity_filtered.txt.gz
Braineac2	tx	brain (substantia_nigra)	naive	substantia_nigra	UBERON_0002038	substantia_nigra	65	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/Braineac2/tx/Braineac2_tx_substantia_nigra.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/Braineac2_tx_substantia_nigra.purity_filtered.txt.gz
Braineac2	txrev	brain (putamen)	naive	putamen	UBERON_0001874	putamen	102	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/Braineac2/txrev/Braineac2_txrev_putamen.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/Braineac2_txrev_putamen.purity_filtered.txt.gz
Braineac2	txrev	brain (substantia_nigra)	naive	substantia_nigra	UBERON_0002038	substantia_nigra	65	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/Braineac2/txrev/Braineac2_txrev_substantia_nigra.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/Braineac2_txrev_substantia_nigra.purity_filtered.txt.gz
CAP	exon	LCL	naive	LCL_naive	EFO_0005292	lymphoblastoid cell line	148	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/CAP/exon/CAP_exon_LCL_naive.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/CAP_exon_LCL_naive.purity_filtered.txt.gz
CAP	exon	LCL	statin	LCL_statin	EFO_0005292	lymphoblastoid cell line	148	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/CAP/exon/CAP_exon_LCL_statin.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/CAP_exon_LCL_statin.purity_filtered.txt.gz
CAP	ge	LCL	naive	LCL_naive	EFO_0005292	lymphoblastoid cell line	148	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/CAP/ge/CAP_ge_LCL_naive.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/CAP_ge_LCL_naive.purity_filtered.txt.gz
CAP	ge	LCL	statin	LCL_statin	EFO_0005292	lymphoblastoid cell line	148	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/CAP/ge/CAP_ge_LCL_statin.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/CAP_ge_LCL_statin.purity_filtered.txt.gz
CAP	tx	LCL	naive	LCL_naive	EFO_0005292	lymphoblastoid cell line	148	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/CAP/tx/CAP_tx_LCL_naive.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/CAP_tx_LCL_naive.purity_filtered.txt.gz
CAP	tx	LCL	statin	LCL_statin	EFO_0005292	lymphoblastoid cell line	148	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/CAP/tx/CAP_tx_LCL_statin.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/CAP_tx_LCL_statin.purity_filtered.txt.gz
CAP	txrev	LCL	naive	LCL_naive	EFO_0005292	lymphoblastoid cell line	148	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/CAP/txrev/CAP_txrev_LCL_naive.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/CAP_txrev_LCL_naive.purity_filtered.txt.gz
CAP	txrev	LCL	statin	LCL_statin	EFO_0005292	lymphoblastoid cell line	148	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/CAP/txrev/CAP_txrev_LCL_statin.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/CAP_txrev_LCL_statin.purity_filtered.txt.gz
CEDAR	microarray	B cell	naive	B-cell_CD19	CL_0000236	B cell	262	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/CEDAR/microarray/CEDAR_microarray_B-cell_CD19.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/CEDAR_microarray_B-cell_CD19.purity_filtered.txt.gz
CEDAR	microarray	CD4+ T cell	naive	T-cell_CD4	CL_0000624	CD4-positive, alpha-beta T cell	290	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/CEDAR/microarray/CEDAR_microarray_T-cell_CD4.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/CEDAR_microarray_T-cell_CD4.purity_filtered.txt.gz
CEDAR	microarray	CD8+ T cell	naive	T-cell_CD8	CL_0000625	CD8-positive, alpha-beta T cell	277	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/CEDAR/microarray/CEDAR_microarray_T-cell_CD8.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/CEDAR_microarray_T-cell_CD8.purity_filtered.txt.gz
CEDAR	microarray	ileum	naive	ileum	UBERON_0002116	ileum	180	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/CEDAR/microarray/CEDAR_microarray_ileum.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/CEDAR_microarray_ileum.purity_filtered.txt.gz
CEDAR	microarray	monocyte	naive	monocyte_CD14	CL_0002057	CD14-positive, CD16-negative classical monocyte	286	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/CEDAR/microarray/CEDAR_microarray_monocyte_CD14.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/CEDAR_microarray_monocyte_CD14.purity_filtered.txt.gz
CEDAR	microarray	neutrophil	naive	neutrophil_CD15	CL_0000775	neutrophil	280	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/CEDAR/microarray/CEDAR_microarray_neutrophil_CD15.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/CEDAR_microarray_neutrophil_CD15.purity_filtered.txt.gz
CEDAR	microarray	platelet	naive	platelet	CL_0000233	platelet	205	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/CEDAR/microarray/CEDAR_microarray_platelet.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/CEDAR_microarray_platelet.purity_filtered.txt.gz
CEDAR	microarray	rectum	naive	rectum	UBERON_0001052	rectum	271	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/CEDAR/microarray/CEDAR_microarray_rectum.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/CEDAR_microarray_rectum.purity_filtered.txt.gz
CEDAR	microarray	transverse colon	naive	transverse_colon	UBERON_0001157	transverse colon	286	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/CEDAR/microarray/CEDAR_microarray_transverse_colon.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/CEDAR_microarray_transverse_colon.purity_filtered.txt.gz
CommonMind	exon	brain (DLPFC)	naive	DLPFC_naive	UBERON_0009834	dorsolateral prefrontal cortex	590	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/CommonMind/exon/CommonMind_exon_DLPFC_naive.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/CommonMind_exon_DLPFC_naive.purity_filtered.txt.gz
CommonMind	ge	brain (DLPFC)	naive	DLPFC_naive	UBERON_0009834	dorsolateral prefrontal cortex	590	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/CommonMind/ge/CommonMind_ge_DLPFC_naive.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/CommonMind_ge_DLPFC_naive.purity_filtered.txt.gz
CommonMind	tx	brain (DLPFC)	naive	DLPFC_naive	UBERON_0009834	dorsolateral prefrontal cortex	590	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/CommonMind/tx/CommonMind_tx_DLPFC_naive.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/CommonMind_tx_DLPFC_naive.purity_filtered.txt.gz
CommonMind	txrev	brain (DLPFC)	naive	DLPFC_naive	UBERON_0009834	dorsolateral prefrontal cortex	590	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/CommonMind/txrev/CommonMind_txrev_DLPFC_naive.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/CommonMind_txrev_DLPFC_naive.purity_filtered.txt.gz
FUSION	exon	adipose	naive	adipose_naive	UBERON_0001013	adipose tissue	271	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/FUSION/exon/FUSION_exon_adipose_naive.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/FUSION_exon_adipose_naive.purity_filtered.txt.gz
FUSION	exon	muscle	naive	muscle_naive	UBERON_0001134	skeletal muscle tissue	288	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/FUSION/exon/FUSION_exon_muscle_naive.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/FUSION_exon_muscle_naive.purity_filtered.txt.gz
FUSION	ge	adipose	naive	adipose_naive	UBERON_0001013	adipose tissue	271	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/FUSION/ge/FUSION_ge_adipose_naive.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/FUSION_ge_adipose_naive.purity_filtered.txt.gz
FUSION	ge	muscle	naive	muscle_naive	UBERON_0001134	skeletal muscle tissue	288	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/FUSION/ge/FUSION_ge_muscle_naive.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/FUSION_ge_muscle_naive.purity_filtered.txt.gz
FUSION	tx	adipose	naive	adipose_naive	UBERON_0001013	adipose tissue	271	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/FUSION/tx/FUSION_tx_adipose_naive.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/FUSION_tx_adipose_naive.purity_filtered.txt.gz
FUSION	tx	muscle	naive	muscle_naive	UBERON_0001134	skeletal muscle tissue	288	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/FUSION/tx/FUSION_tx_muscle_naive.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/FUSION_tx_muscle_naive.purity_filtered.txt.gz
FUSION	txrev	adipose	naive	adipose_naive	UBERON_0001013	adipose tissue	271	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/FUSION/txrev/FUSION_txrev_adipose_naive.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/FUSION_txrev_adipose_naive.purity_filtered.txt.gz
FUSION	txrev	muscle	naive	muscle_naive	UBERON_0001134	skeletal muscle tissue	288	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/FUSION/txrev/FUSION_txrev_muscle_naive.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/FUSION_txrev_muscle_naive.purity_filtered.txt.gz
Fairfax_2012	microarray	B cell	naive	B-cell_CD19	CL_0000236	B cell	281	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/Fairfax_2012/microarray/Fairfax_2012_microarray_B-cell_CD19.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/Fairfax_2012_microarray_B-cell_CD19.purity_filtered.txt.gz
Fairfax_2014	microarray	monocyte	IFNg_24h	monocyte_IFN24	CL_0002057	CD14-positive, CD16-negative classical monocyte	370	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/Fairfax_2014/microarray/Fairfax_2014_microarray_monocyte_IFN24.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/Fairfax_2014_microarray_monocyte_IFN24.purity_filtered.txt.gz
Fairfax_2014	microarray	monocyte	LPS_24h	monocyte_LPS24	CL_0002057	CD14-positive, CD16-negative classical monocyte	325	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/Fairfax_2014/microarray/Fairfax_2014_microarray_monocyte_LPS24.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/Fairfax_2014_microarray_monocyte_LPS24.purity_filtered.txt.gz
Fairfax_2014	microarray	monocyte	LPS_2h	monocyte_LPS2	CL_0002057	CD14-positive, CD16-negative classical monocyte	256	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/Fairfax_2014/microarray/Fairfax_2014_microarray_monocyte_LPS2.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/Fairfax_2014_microarray_monocyte_LPS2.purity_filtered.txt.gz
Fairfax_2014	microarray	monocyte	naive	monocyte_naive	CL_0002057	CD14-positive, CD16-negative classical monocyte	420	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/Fairfax_2014/microarray/Fairfax_2014_microarray_monocyte_naive.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/Fairfax_2014_microarray_monocyte_naive.purity_filtered.txt.gz
