Trait	nSNP	overall_p	mscomp
20002_1155_PanUKBB_PanUKBBR2_1	566	0.397293519379323	PC1 (5e-02)
20002_1156_Neale_UKBB_1	558	0.130716165688449	PC11 (4e-02)
20002_1156_PanUKBB_PanUKBBR2_1	566	0.0922804633420753	PC4 (6e-02)
20002_1157_Neale_UKBB_1	558	0.836591559741237	PC12 (1e-01)
20002_1157_PanUKBB_PanUKBBR2_1	566	0.978396973848411	PC3 (1e-01)
20002_1158_Neale_UKBB_1	558	0.184383188095048	PC5 (1e-02)
20002_1158_PanUKBB_PanUKBBR2_1	566	0.0311200962177667	PC5 (3e-02)
20002_1161_Neale_UKBB_1	558	0.0128536901941395	PC2 (2e-02)
20002_1161_PanUKBB_PanUKBBR2_1	566	0.248181314098991	PC3 (4e-02)
20002_1162_Neale_UKBB_1	558	0.0762809526853776	PC11 (3e-02)
20002_1162_PanUKBB_PanUKBBR2_1	566	0.0852464363579869	PC11 (2e-02)
20002_1163_Neale_UKBB_1	558	0.0550080076867924	PC2 (2e-02)
20002_1163_PanUKBB_PanUKBBR2_1	566	0.0180702726028548	PC6 (1e-02)
20002_1165_Neale_UKBB_1	558	0.118983459762627	PC2 (2e-02)
20002_1165_PanUKBB_PanUKBBR2_1	566	0.00866384795911759	PC2 (3e-03)
20002_1190_Neale_UKBB_1	558	0.424716775549723	PC8 (2e-02)
20002_1190_PanUKBB_PanUKBBR2_1	566	0.4759940223349	PC13 (1e-01)
20002_1191_Neale_UKBB_1	558	0.448659457336125	PC5 (4e-02)
20002_1191_PanUKBB_PanUKBBR2_1	566	0.159710522947921	PC5 (3e-03)
20002_1192_Neale_UKBB_1	558	0.640691541582617	PC7 (7e-02)
20002_1192_PanUKBB_PanUKBBR2_1	566	0.833513370958585	PC8 (4e-02)
20002_1193_Neale_UKBB_1	558	0.9152785021498	PC1 (1e-01)
20002_1193_PanUKBB_PanUKBBR2_1	566	0.891250665312759	PC3 (1e-01)
20002_1194_Neale_UKBB_1	558	0.255158824524904	PC12 (4e-02)
20002_1194_PanUKBB_PanUKBBR2_1	566	0.088667127577084	PC12 (2e-02)
20002_1196_Neale_UKBB_1	558	0.497093623562439	PC5 (8e-02)
20002_1196_PanUKBB_PanUKBBR2_1	566	0.328256781563067	PC5 (2e-02)
20002_1197_Neale_UKBB_1	558	0.220520265124154	PC5 (2e-02)
20002_1197_PanUKBB_PanUKBBR2_1	566	0.167145823552299	PC5 (1e-02)
20002_1200_Neale_UKBB_1	558	0.526757556457682	PC2 (4e-02)
20002_1200_PanUKBB_PanUKBBR2_1	566	0.325513266141915	PC2 (6e-02)
20002_1201_Neale_UKBB_1	558	0.085999118278273	PC2 (6e-04)
20002_1201_PanUKBB_PanUKBBR2_1	566	0.273036892730244	PC2 (3e-03)
20002_1202_Neale_UKBB_1	558	0.223862193921696	PC7 (5e-03)
20002_1202_PanUKBB_PanUKBBR2_1	566	0.54647110085221	PC7 (4e-02)
20002_1220_Neale_UKBB_1	558	5.39528416868096e-11	PC4 (2e-07)
20002_1220_PanUKBB_PanUKBBR2_1	566	4.96836401118061e-11	PC4 (6e-06)
20002_1222_Neale_UKBB_1	558	5.679463600511e-09	PC8 (5e-05)
20002_1222_PanUKBB_PanUKBBR2_1	566	3.18757672821323e-08	PC3 (5e-05)
20002_1223_Neale_UKBB_1	558	0.155302103486544	PC1 (6e-03)
20002_1223_PanUKBB_PanUKBBR2_1	566	0.183011995154013	PC1 (7e-03)
20002_1224_Neale_UKBB_1	558	0.536378233097251	PC13 (1e-01)
20002_1224_PanUKBB_PanUKBBR2_1	566	0.273635523180902	PC13 (2e-02)
20002_1225_Neale_UKBB_1	558	5.46727967460463e-40	PC1 (3e-18)
20002_1225_PanUKBB_PanUKBBR2_1	566	1.22304131991929e-50	PC1 (3e-21)
20002_1226_Neale_UKBB_1	558	0	PC1 (2e-135)
20002_1226_PanUKBB_PanUKBBR2_1	566	0	PC1 (2e-145)
20002_1229_Neale_UKBB_1	558	0.253527797905042	PC6 (1e-02)
20002_1229_PanUKBB_PanUKBBR2_1	566	0.225117964789384	PC6 (9e-03)
20002_1230_PanUKBB_PanUKBBR2_1	566	0.279565189926761	PC9 (4e-02)
20002_1234_Neale_UKBB_1	558	0.000140657565525875	PC1 (4e-03)
20002_1234_PanUKBB_PanUKBBR2_1	566	0.000212792463728426	PC3 (2e-03)
20002_1238_Neale_UKBB_1	558	0.406271354339418	PC13 (3e-02)
20002_1238_PanUKBB_PanUKBBR2_1	566	0.30366920562848	PC10 (5e-03)
20002_1240_Neale_UKBB_1	558	0.2261569222086	PC1 (1e-02)
20002_1240_PanUKBB_PanUKBBR2_1	566	0.238804119914533	PC1 (3e-02)
20002_1242_Neale_UKBB_1	558	0.372836834162691	PC12 (6e-02)
20002_1242_PanUKBB_PanUKBBR2_1	566	0.306543840477932	PC2 (3e-02)
20002_1243_Neale_UKBB_1	558	0.235665952829542	PC6 (9e-02)
20002_1243_PanUKBB_PanUKBBR2_1	566	0.404533424999775	PC6 (4e-02)
20002_1246_Neale_UKBB_1	558	0.124524794627338	PC4 (3e-02)
20002_1246_PanUKBB_PanUKBBR2_1	566	0.723566963780052	PC11 (2e-01)
20002_1247_Neale_UKBB_1	558	0.777320981259602	PC5 (1e-01)
20002_1247_PanUKBB_PanUKBBR2_1	566	0.33130042398897	PC5 (8e-02)
20002_1249_Neale_UKBB_1	558	0.826200431228343	PC3 (1e-01)
20002_1249_PanUKBB_PanUKBBR2_1	566	0.991729937948665	PC3 (3e-01)
20002_1250_Neale_UKBB_1	558	0.800867012584419	PC2 (1e-01)
20002_1250_PanUKBB_PanUKBBR2_1	566	0.661298678829381	PC1 (1e-01)
20002_1251_Neale_UKBB_1	558	0.243122207571634	PC10 (3e-02)
20002_1251_PanUKBB_PanUKBBR2_1	566	0.262188635992745	PC6 (7e-02)
20002_1254_Neale_UKBB_1	558	0.608371716069308	PC12 (8e-02)
20002_1254_PanUKBB_PanUKBBR2_1	566	0.188973326723693	PC8 (6e-02)
20002_1255_Neale_UKBB_1	558	0.651621778289702	PC4 (4e-02)
20002_1255_PanUKBB_PanUKBBR2_1	566	0.784927594259777	PC1 (1e-01)
20002_1256_Neale_UKBB_1	558	0.960131084066435	PC4 (1e-01)
20002_1256_PanUKBB_PanUKBBR2_1	566	0.741907898315197	PC4 (5e-02)
20002_1257_Neale_UKBB_1	558	0.868031285960076	PC2 (3e-02)
20002_1257_PanUKBB_PanUKBBR2_1	566	0.898726609357253	PC2 (5e-02)
20002_1258_Neale_UKBB_1	558	0.966417318301385	PC8 (1e-01)
20002_1258_PanUKBB_PanUKBBR2_1	566	0.922315734317268	PC8 (1e-01)
20002_1261_Neale_UKBB_1	558	1.60350401695793e-29	PC6 (2e-10)
20002_1261_PanUKBB_PanUKBBR2_1	566	3.16619431144659e-33	PC12 (2e-11)
20002_1262_Neale_UKBB_1	558	0.809344152087367	PC7 (7e-02)
20002_1262_PanUKBB_PanUKBBR2_1	566	0.628964386811903	PC13 (8e-02)
20002_1263_PanUKBB_PanUKBBR2_1	566	0.867042863712357	PC1 (1e-01)
20002_1264_Neale_UKBB_1	558	0.693332869714645	PC7 (7e-02)
20002_1264_PanUKBB_PanUKBBR2_1	566	0.522663488008934	PC7 (3e-02)
20002_1265_Neale_UKBB_1	558	0.242677109377024	PC11 (2e-02)
20002_1265_PanUKBB_PanUKBBR2_1	566	0.22294927125796	PC11 (5e-02)
20002_1266_Neale_UKBB_1	558	0.327219718427778	PC4 (6e-03)
20002_1266_PanUKBB_PanUKBBR2_1	566	0.728612685097307	PC4 (1e-01)
20002_1267_Neale_UKBB_1	558	0.805149065797768	PC3 (2e-01)
20002_1267_PanUKBB_PanUKBBR2_1	566	0.648954424288508	PC3 (2e-01)
20002_1274_Neale_UKBB_1	558	0.347959726828661	PC11 (3e-02)
20002_1274_PanUKBB_PanUKBBR2_1	566	0.0461743386834303	PC10 (3e-03)
20002_1275_Neale_UKBB_1	558	0.458035646513949	PC11 (2e-02)
20002_1275_PanUKBB_PanUKBBR2_1	566	0.613476096870769	PC11 (7e-03)
20002_1276_Neale_UKBB_1	558	0.000301066112817798	PC1 (4e-03)
20002_1276_PanUKBB_PanUKBBR2_1	566	0.0612650544913823	PC3 (2e-02)
20002_1277_Neale_UKBB_1	558	0.99073131250792	PC9 (2e-01)
20002_1277_PanUKBB_PanUKBBR2_1	566	0.909881023021922	PC6 (9e-02)
20002_1278_Neale_UKBB_1	558	0.0644735388497398	PC1 (5e-03)
20002_1278_PanUKBB_PanUKBBR2_1	566	0.319683989012306	PC13 (6e-02)
20002_1279_Neale_UKBB_1	558	0.558525452779266	PC1 (8e-02)
20002_1279_PanUKBB_PanUKBBR2_1	566	0.347510537887545	PC1 (3e-02)
20002_1281_Neale_UKBB_1	558	0.481328683671803	PC2 (4e-02)
20002_1281_PanUKBB_PanUKBBR2_1	566	0.306328496429948	PC2 (3e-02)
20002_1282_Neale_UKBB_1	558	0.306554377494883	PC9 (3e-02)
20002_1282_PanUKBB_PanUKBBR2_1	566	0.238555278541829	PC3 (1e-01)
20002_1286_Neale_UKBB_1	558	0.238422533287209	PC4 (2e-03)
20002_1286_PanUKBB_PanUKBBR2_1	566	0.143966951705824	PC4 (8e-03)
20002_1287_Neale_UKBB_1	558	0.240740932904981	PC8 (2e-02)
20002_1287_PanUKBB_PanUKBBR2_1	566	0.149186903452169	PC8 (5e-02)
20002_1288_Neale_UKBB_1	558	0.686095770764152	PC6 (9e-02)
20002_1288_PanUKBB_PanUKBBR2_1	566	0.168547761204775	PC10 (2e-02)
20002_1289_Neale_UKBB_1	558	0.219288218902906	PC6 (2e-02)
20002_1289_PanUKBB_PanUKBBR2_1	566	0.213196549875805	PC6 (4e-02)
20002_1290_Neale_UKBB_1	558	0.10500938114405	PC10 (8e-03)
20002_1290_PanUKBB_PanUKBBR2_1	566	0.400319335738015	PC3 (7e-02)
20002_1291_Neale_UKBB_1	558	0.0259727596114637	PC6 (8e-03)
20002_1291_PanUKBB_PanUKBBR2_1	566	0.0675081312809604	PC4 (1e-02)
20002_1293_Neale_UKBB_1	558	0.999725603596943	PC5 (4e-01)
20002_1293_PanUKBB_PanUKBBR2_1	566	0.897226152248131	PC13 (7e-02)
20002_1294_Neale_UKBB_1	558	0.395667233701963	PC7 (1e-01)
20002_1294_PanUKBB_PanUKBBR2_1	566	0.417400089280468	PC10 (1e-01)
20002_1295_Neale_UKBB_1	558	0.483989283615232	PC7 (1e-01)
20002_1295_PanUKBB_PanUKBBR2_1	566	0.68053125296856	PC6 (6e-02)
20002_1297_Neale_UKBB_1	558	0.75105810940299	PC11 (2e-01)
20002_1297_PanUKBB_PanUKBBR2_1	566	0.71813260814012	PC9 (9e-02)
20002_1308_Neale_UKBB_1	558	0.548303913092969	PC7 (7e-02)
20002_1308_PanUKBB_PanUKBBR2_1	566	0.780735846729111	PC1 (6e-02)
20002_1309_Neale_UKBB_1	558	0.00797133182740675	PC10 (1e-02)
20002_1309_PanUKBB_PanUKBBR2_1	566	0.0122981043016775	PC10 (2e-02)
20002_1311_Neale_UKBB_1	558	0.765094416507744	PC1 (1e-01)
20002_1311_PanUKBB_PanUKBBR2_1	566	0.110790548028753	PC10 (6e-03)
20002_1312_Neale_UKBB_1	558	0.303698698756944	PC5 (1e-02)
20002_1312_PanUKBB_PanUKBBR2_1	566	0.0897782525331388	PC5 (3e-02)
20002_1313_Neale_UKBB_1	558	0.00257388055113839	PC1 (5e-03)
20002_1313_PanUKBB_PanUKBBR2_1	566	0.0464567898916557	PC1 (2e-02)
20002_1322_Neale_UKBB_1	558	0.305735841698986	PC4 (4e-02)
20002_1322_PanUKBB_PanUKBBR2_1	566	0.296611306285545	PC8 (6e-02)
20002_1327_Neale_UKBB_1	558	0.604410967369549	PC13 (2e-01)
20002_1327_PanUKBB_PanUKBBR2_1	566	0.551587262144792	PC13 (1e-01)
20002_1330_Neale_UKBB_1	558	0.218623143399039	PC3 (9e-03)
20002_1330_PanUKBB_PanUKBBR2_1	566	0.0838751782454142	PC3 (2e-04)
20002_1331_Neale_UKBB_1	558	1.00082858121493e-12	PC1 (5e-08)
20002_1331_PanUKBB_PanUKBBR2_1	566	9.1873143609435e-13	PC1 (5e-08)
20002_1371_Neale_UKBB_1	558	4.73431859870644e-08	PC12 (9e-06)
20002_1371_PanUKBB_PanUKBBR2_1	566	6.70368606702215e-09	PC12 (3e-05)
20002_1372_Neale_UKBB_1	558	0.0973298224490292	PC12 (6e-02)
20002_1372_PanUKBB_PanUKBBR2_1	566	0.0349305817108292	PC9 (1e-02)
20002_1373_Neale_UKBB_1	558	0.347744110771599	PC6 (1e-02)
20002_1373_PanUKBB_PanUKBBR2_1	566	0.476501285093933	PC6 (7e-02)
20002_1374_Neale_UKBB_1	558	0.000486126299887098	PC13 (2e-04)
20002_1374_PanUKBB_PanUKBBR2_1	566	2.43932463687321e-05	PC13 (8e-05)
20002_1377_Neale_UKBB_1	558	0.218897089138562	PC3 (2e-02)
20002_1377_PanUKBB_PanUKBBR2_1	566	0.0748617396909978	PC8 (7e-03)
20002_1381_Neale_UKBB_1	558	1.32044227313947e-12	PC2 (5e-12)
20002_1381_PanUKBB_PanUKBBR2_1	566	2.23191778071571e-13	PC2 (2e-12)
20002_1382_Neale_UKBB_1	558	0.00318448883972503	PC1 (9e-04)
20002_1382_PanUKBB_PanUKBBR2_1	566	0.00313059209807278	PC1 (5e-03)
20002_1384_Neale_UKBB_1	558	0.0318649444192483	PC1 (1e-03)
20002_1384_PanUKBB_PanUKBBR2_1	566	0.0166163904586798	PC2 (6e-03)
20002_1385_Neale_UKBB_1	558	0.137637448192673	PC13 (2e-03)
20002_1385_PanUKBB_PanUKBBR2_1	566	0.0109942866923532	PC13 (8e-04)
20002_1386_Neale_UKBB_1	558	0.472130187499737	PC1 (6e-02)
20002_1386_PanUKBB_PanUKBBR2_1	566	0.267066732456558	PC1 (3e-02)
20002_1387_Neale_UKBB_1	558	1.01226726023642e-83	PC13 (7e-63)
20002_1387_PanUKBB_PanUKBBR2_1	566	1.10242451339839e-91	PC13 (2e-67)
20002_1394_Neale_UKBB_1	558	0.724696507977517	PC10 (1e-02)
20002_1394_PanUKBB_PanUKBBR2_1	566	0.879683861464717	PC10 (3e-02)
20002_1398_Neale_UKBB_1	558	0.332503187983691	PC9 (5e-02)
20002_1398_PanUKBB_PanUKBBR2_1	566	0.555140606748866	PC9 (1e-01)
20002_1400_Neale_UKBB_1	558	0.3099397057346	PC7 (7e-02)
20002_1400_PanUKBB_PanUKBBR2_1	566	0.271404675766898	PC10 (7e-02)
20002_1405_Neale_UKBB_1	558	0.156307977239476	PC6 (1e-02)
20002_1405_PanUKBB_PanUKBBR2_1	566	0.215299496224998	PC3 (7e-02)
20002_1406_Neale_UKBB_1	558	0.307992333638136	PC7 (4e-02)
20002_1406_PanUKBB_PanUKBBR2_1	566	0.4278365134472	PC7 (4e-02)
20002_1407_Neale_UKBB_1	558	0.33204870428927	PC7 (4e-02)
20002_1407_PanUKBB_PanUKBBR2_1	566	0.746597448359971	PC7 (9e-02)
20002_1408_Neale_UKBB_1	558	0.786734644942413	PC11 (4e-02)
20002_1408_PanUKBB_PanUKBBR2_1	566	0.54198335534295	PC3 (7e-02)
20002_1412_Neale_UKBB_1	558	0.235231128521012	PC12 (8e-03)
20002_1412_PanUKBB_PanUKBBR2_1	566	0.150418401589126	PC12 (5e-03)
20002_1413_Neale_UKBB_1	558	0.948038243060966	PC6 (2e-01)
20002_1413_PanUKBB_PanUKBBR2_1	566	0.791029524696699	PC6 (8e-02)
20002_1414_Neale_UKBB_1	558	0.0406881267455402	PC1 (7e-03)
20002_1414_PanUKBB_PanUKBBR2_1	566	0.13123010416755	PC3 (2e-03)
20002_1415_Neale_UKBB_1	558	0.88966195550262	PC4 (1e-01)
20002_1415_PanUKBB_PanUKBBR2_1	566	0.837727873770875	PC4 (9e-02)
20002_1416_Neale_UKBB_1	558	0.117385771048748	PC9 (2e-02)
20002_1416_PanUKBB_PanUKBBR2_1	566	0.271217306621056	PC13 (3e-02)
20002_1417_Neale_UKBB_1	558	1.13655503281667e-15	PC13 (2e-13)
20002_1417_PanUKBB_PanUKBBR2_1	566	6.65904031185859e-20	PC13 (5e-18)
20002_1419_Neale_UKBB_1	558	0.441208517621971	PC9 (7e-02)
20002_1419_PanUKBB_PanUKBBR2_1	566	0.548159963113233	PC5 (1e-01)
20002_1420_Neale_UKBB_1	558	0.402695852226418	PC13 (6e-02)
20002_1420_PanUKBB_PanUKBBR2_1	566	0.777103119609528	PC13 (2e-01)
20002_1421_Neale_UKBB_1	558	0.0893862097725081	PC11 (4e-02)
20002_1421_PanUKBB_PanUKBBR2_1	566	0.0661286806808597	PC8 (6e-02)
20002_1425_Neale_UKBB_1	558	0.994664795470184	PC12 (4e-01)
20002_1425_PanUKBB_PanUKBBR2_1	566	0.990438169148087	PC12 (3e-01)
20002_1427_Neale_UKBB_1	558	0.747850965676811	PC6 (1e-01)
20002_1427_PanUKBB_PanUKBBR2_1	566	0.368307787021169	PC8 (3e-02)
20002_1428_Neale_UKBB_1	558	0.040861233832216	PC8 (2e-03)
20002_1428_PanUKBB_PanUKBBR2_1	566	0.0491838442958546	PC8 (8e-03)
20002_1430_Neale_UKBB_1	558	0.129054768953073	PC1 (3e-02)
20002_1430_PanUKBB_PanUKBBR2_1	566	0.147905440574701	PC1 (1e-02)
20002_1433_Neale_UKBB_1	558	0.758172446471645	PC4 (2e-01)
20002_1433_PanUKBB_PanUKBBR2_1	566	0.662307130571999	PC12 (1e-01)
20002_1434_Neale_UKBB_1	558	0.915153781937372	PC11 (2e-01)
20002_1434_PanUKBB_PanUKBBR2_1	566	0.816733226112828	PC6 (2e-01)
20002_1435_Neale_UKBB_1	558	0.161193053028664	PC4 (1e-02)
20002_1435_PanUKBB_PanUKBBR2_1	566	0.210378840699243	PC4 (3e-02)
20002_1436_Neale_UKBB_1	558	0.685162005985046	PC13 (3e-02)
20002_1436_PanUKBB_PanUKBBR2_1	566	0.39397036328723	PC4 (2e-02)
20002_1437_Neale_UKBB_1	558	0.888950409011278	PC1 (9e-02)
20002_1437_PanUKBB_PanUKBBR2_1	566	0.656699511611252	PC1 (2e-02)
20002_1438_Neale_UKBB_1	558	0.148169691137874	PC6 (1e-02)
20002_1438_PanUKBB_PanUKBBR2_1	566	0.024811105882114	PC12 (5e-03)
20002_1439_Neale_UKBB_1	558	0.88746788280843	PC3 (9e-02)
20002_1439_PanUKBB_PanUKBBR2_1	566	0.887337065083322	PC3 (5e-02)
20002_1440_Neale_UKBB_1	558	0.00269446379060217	PC4 (1e-03)
20002_1440_PanUKBB_PanUKBBR2_1	566	0.0020940799309253	PC1 (3e-03)
20002_1441_Neale_UKBB_1	558	0.580538377269405	PC7 (1e-01)
20002_1441_PanUKBB_PanUKBBR2_1	566	0.680454008471156	PC7 (3e-02)
20002_1442_Neale_UKBB_1	558	0.0664397711005818	PC4 (2e-03)
20002_1442_PanUKBB_PanUKBBR2_1	566	0.050612142370483	PC4 (4e-03)
20002_1445_Neale_UKBB_1	558	0.330471355387827	PC4 (6e-02)
20002_1445_PanUKBB_PanUKBBR2_1	566	0.438699361532559	PC8 (7e-02)
20002_1446_Neale_UKBB_1	558	0.0178565191161056	PC10 (2e-05)
20002_1446_PanUKBB_PanUKBBR2_1	566	0.134903211655079	PC10 (6e-03)
20002_1448_PanUKBB_PanUKBBR2_1	566	0.739027023151301	PC11 (1e-01)
20002_1451_Neale_UKBB_1	558	0.549469737213016	PC10 (5e-02)
20002_1451_PanUKBB_PanUKBBR2_1	566	0.417500397643233	PC1 (5e-02)
20002_1452_Neale_UKBB_1	558	5.89777394248926e-16	PC13 (3e-11)
20002_1452_PanUKBB_PanUKBBR2_1	566	7.02063634589113e-17	PC13 (1e-12)
20002_1453_Neale_UKBB_1	558	3.70173430303952e-05	PC5 (5e-05)
20002_1453_PanUKBB_PanUKBBR2_1	566	1.23026906311779e-06	PC5 (8e-05)
20002_1454_Neale_UKBB_1	558	0.478989161906363	PC12 (5e-02)
20002_1454_PanUKBB_PanUKBBR2_1	566	0.413013433193643	PC12 (1e-02)
20002_1455_Neale_UKBB_1	558	0.305788474261972	PC3 (3e-02)
20002_1455_PanUKBB_PanUKBBR2_1	566	0.47533344572619	PC3 (1e-02)
20002_1456_Neale_UKBB_1	558	4.97073273637198e-34	PC7 (1e-12)
20002_1456_PanUKBB_PanUKBBR2_1	566	4.3982741097586e-43	PC7 (1e-16)
20002_1457_Neale_UKBB_1	558	0.590298124625841	PC9 (2e-01)
20002_1457_PanUKBB_PanUKBBR2_1	566	0.448722241789109	PC10 (4e-02)
20002_1458_Neale_UKBB_1	558	0.156890758084865	PC1 (1e-02)
20002_1458_PanUKBB_PanUKBBR2_1	566	0.184733411188085	PC1 (2e-02)
20002_1459_Neale_UKBB_1	558	3.74891095222042e-25	PC1 (7e-13)
20002_1459_PanUKBB_PanUKBBR2_1	566	2.41054554282591e-31	PC1 (4e-13)
20002_1460_Neale_UKBB_1	558	0.517208014958276	PC12 (2e-02)
20002_1460_PanUKBB_PanUKBBR2_1	566	0.290447759162826	PC6 (4e-02)
20002_1461_Neale_UKBB_1	558	0.189363528435844	PC6 (2e-02)
20002_1461_PanUKBB_PanUKBBR2_1	566	0.245801125056074	PC6 (1e-02)
