"File_ID"	"First_Author"	"Year"	"Reference"	"Trait_ID_2.0"	"Trait_long"	"Trait_class"	"N0"	"N1"	"N"	"SNP_number"	"Chip"	"Population"	"Collection"	"Trait"
"IL5_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"IL5"	"Interleukin-5 (IL5) levels"	"BMK"	3364	0	3364	9552018	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	"IL5_AholaOlli_27989323_1"
"IL6_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"IL6"	"Interleukin-6 (IL6) levels"	"BMK"	8190	0	8190	9901590	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	"IL6_AholaOlli_27989323_1"
"IL7_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"IL7"	"Interleukin-7 (IL7) levels"	"BMK"	3409	0	3409	9795400	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	"IL7_AholaOlli_27989323_1"
"IL8_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"IL8"	"Interleukin-8 (IL8, CXCL8)  levels"	"BMK"	3526	0	3526	9619488	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	"IL8_AholaOlli_27989323_1"
"IL9_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"IL9"	"Interleukin-9 (IL9) levels"	"BMK"	3634	0	3634	9670160	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	"IL9_AholaOlli_27989323_1"
"MCSF_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"MCSF"	"Macrophage colony-stimulating factor (MCSF, CSF1) levels"	"BMK"	840	0	840	9239178	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	"MCSF_AholaOlli_27989323_1"
"MIP1A_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"MIP1A"	"Macrophage inflammatory protein-1α (CCL3, MIP1a) levels"	"BMK"	3522	0	3522	9621245	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	"MIP1A_AholaOlli_27989323_1"
"MIP1B_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"MIP1B"	"Macrophage inflammatory protein-1β (CCL4, MIP1b) levels"	"BMK"	8243	0	8243	9909261	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	"MIP1B_AholaOlli_27989323_1"
"MIF_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"MIF"	"Macrophage migration inhibitory factor (glycosylation-inhibiting factor) (MIF) levels"	"BMK"	3494	0	3494	9633861	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	"MIF_AholaOlli_27989323_1"
"MCP1_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"MCP1"	"Monocyte chemotactic protein-1 (CCL2, MCP1) levels"	"BMK"	8293	0	8293	9907923	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	"MCP1_AholaOlli_27989323_1"
"MCP3_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"MCP3"	"Monocyte specific chemokine 3 (CCL7, MCP3) levels"	"BMK"	843	0	843	7710254	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	"MCP3_AholaOlli_27989323_1"
"MIG_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"MIG"	"Monokine induced by interferon-gamma (CXCL9, MIG) levels"	"BMK"	3685	0	3685	9677177	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	"MIG_AholaOlli_27989323_1"
"PDGFbb_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"PDGFbb"	"Platelet derived growth factor BB (PDGFbb) levels"	"BMK"	8293	0	8293	9906063	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	"PDGFbb_AholaOlli_27989323_1"
"RANTES_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"RANTES"	"Regulated on Activation, Normal T Cell Expressed and Secreted (CCL5, RANTES) levels"	"BMK"	3421	0	3421	9626010	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	"RANTES_AholaOlli_27989323_1"
"SCF_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"SCF"	"Stem cell factor (SCF) levels"	"BMK"	8290	0	8290	9909075	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	"SCF_AholaOlli_27989323_1"
"SCGFb_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"SCGFb"	"Stem cell growth factor beta (SCGFb) levels"	"BMK"	3682	0	3682	9677276	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	"SCGFb_AholaOlli_27989323_1"
"SDF1a_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"SDF1a"	"Stromal cell-derived factor-1 alpha (CXCL12a, SDF1a) levels"	"BMK"	5998	0	5998	9841572	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	"SDF1a_AholaOlli_27989323_1"
"TRAIL_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"TRAIL"	"TNF-related apoptosis inducing ligand (TRAIL) levels"	"BMK"	8186	0	8186	9904949	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	"TRAIL_AholaOlli_27989323_1"
"TNFa_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"TNFa"	"Tumor necrosis factor-alpha (TNFα ) levels"	"BMK"	3454	0	3454	9602502	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	"TNFa_AholaOlli_27989323_1"
"TNFb_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"TNFb"	"Tumor necrosis factor-beta (TNFβ) levels"	"BMK"	1559	0	1559	6373756	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	"TNFb_AholaOlli_27989323_1"
"VEGF_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"VEGF"	"Vascular endothelial growth factor (VEGF) levels"	"BMK"	7118	0	7118	9889895	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	"VEGF_AholaOlli_27989323_1"
"AST_Anantharaman_22188591_1-hg38.tsv.gz"	"Anantharaman"	2011	22188591	"AST"	"Asthma"	"IMD"	490	490	980	5215687	"Affymetrix SNP6.0"	"East Asian (Chinese)"	NA	"AST_Anantharaman_22188591_1"
"UC_Anderson_21297633_1-hg38.tsv.gz"	"Anderson"	2011	21297633	"UC"	"Ulcerative Colitis"	"IMD"	19718	6687	26405	1406833	"Multiple (Meta-analysis)"	"European"	NA	"UC_Anderson_21297633_1"
"ASD_ASDWGPGC_28540026_1-hg38.tsv.gz"	"ASDWGPGC"	2017	28540026	"ASD"	"Autism Spectrum Disorder"	"PSD"	7377	6197	13574	6440258	NA	"European"	NA	"ASD_ASDWGPGC_28540026_1"
"ASD_ASDWGPGC_28540026_2-hg38.tsv.gz"	"ASDWGPGC"	2017	28540026	"ASD"	"Autism Spectrum Disorder"	"PSD"	8567	7387	15954	6517323	NA	"Trans-ethnic"	NA	"ASD_ASDWGPGC_28540026_2"
"BASC_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"BASC"	"Basophil count"	"BMK"	171846	0	171846	29479829	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"BASC_Astle_27863252_1"
"BASPG_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"BASPG"	"Basophil percentage of granulocytes"	"BMK"	170223	0	170223	29476540	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"BASPG_Astle_27863252_1"
"BASPL_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"BASPL"	"Basophil percentage of Leukocytes"	"BMK"	171996	0	171996	29479207	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"BASPL_Astle_27863252_1"
"EOSC_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"EOSC"	"Eosinophil count"	"BMK"	172275	0	172275	29481263	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"EOSC_Astle_27863252_1"
"EOPG_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"EOPG"	"Eosinophil percentage of granulocytes"	"BMK"	170536	0	170536	29477879	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"EOPG_Astle_27863252_1"
"EOPL_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"EOPL"	"Eosinophil percentage of leucocytes"	"BMK"	172378	0	172378	29479249	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"EOPL_Astle_27863252_1"
"ERYC_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"ERYC"	"Erythrocyte count"	"BMK"	172952	0	172952	29481679	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"ERYC_Astle_27863252_1"
"GRAC_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"GRAC"	"Granulocyte count"	"BMK"	169822	0	169822	29475670	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"GRAC_Astle_27863252_1"
"GRPMW_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"GRPMW"	"Granulocyte percentage of myeloid white cells"	"BMK"	169545	0	169545	29476011	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"GRPMW_Astle_27863252_1"
"HEMAT_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"HEMAT"	"Hematocrit"	"BMK"	173039	0	173039	29479928	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"HEMAT_Astle_27863252_1"
"HBC_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"HBC"	"Hemoglobin concentration"	"BMK"	172925	0	172925	29479066	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"HBC_Astle_27863252_1"
"RETHLC_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"RETHLC"	"High light scatter reticulocyte count"	"BMK"	170761	0	170761	29475930	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"RETHLC_Astle_27863252_1"
"RETHLPRC_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"RETHLPRC"	"High Light Scatter Reticulocyte percentage of red cells"	"BMK"	170763	0	170763	29475670	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"RETHLPRC_Astle_27863252_1"
"RETIF_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"RETIF"	"Immature fraction of reticulocytes"	"BMK"	170548	0	170548	29475492	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"RETIF_Astle_27863252_1"
"LEUC_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"LEUC"	"Leukocyte/ White blood cell count"	"BMK"	172435	0	172435	29481228	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"LEUC_Astle_27863252_1"
"LYMC_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"LYMC"	"Lymphocyte Count"	"BMK"	171643	0	171643	29479611	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"LYMC_Astle_27863252_1"
"LYMPL_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"LYMPL"	"Lymphocyte percentage of Leukocytes"	"BMK"	171748	0	171748	29479370	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"LYMPL_Astle_27863252_1"
"MCH_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"MCH"	"Mean Corpuscular Hemoglobin"	"BMK"	172332	0	172332	29478168	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"MCH_Astle_27863252_1"
"MCHC_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"MCHC"	"Mean corpuscular hemoglobin concentration"	"BMK"	172851	0	172851	29481573	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"MCHC_Astle_27863252_1"
"CORV_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"CORV"	"Mean corpuscular volume"	"BMK"	172433	0	172433	29478732	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"CORV_Astle_27863252_1"
"PLAV_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"PLAV"	"Mean platelet volume"	"BMK"	164454	0	164454	29504835	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"PLAV_Astle_27863252_1"
"MONC_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"MONC"	"Monocyte Count"	"BMK"	170721	0	170721	29477957	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"MONC_Astle_27863252_1"
"MONPL_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"MONPL"	"Monocyte percentage of leukocytes"	"BMK"	170494	0	170494	29477180	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"MONPL_Astle_27863252_1"
"MWCC_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"MWCC"	"Myeloid White Cell Count"	"BMK"	169219	0	169219	29474064	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"MWCC_Astle_27863252_1"
"NEUC_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"NEUC"	"Neutrophil Count"	"BMK"	170702	0	170702	29476877	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"NEUC_Astle_27863252_1"
"NEPGR_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"NEPGR"	"Neutrophil Percentage of Granulocytes"	"BMK"	170672	0	170672	29478153	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"NEPGR_Astle_27863252_1"
"NEPL_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"NEPL"	"Neutrophil percentage of leucocytes"	"BMK"	171542	0	171542	29478332	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"NEPL_Astle_27863252_1"
"PLADW_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"PLADW"	"Platelet component Distribution Width"	"BMK"	164433	0	164433	29456607	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"PLADW_Astle_27863252_1"
"PLAC_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"PLAC"	"Platelet count"	"BMK"	166066	0	166066	29460578	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"PLAC_Astle_27863252_1"
"PLACR_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"PLACR"	"Platelet crit"	"BMK"	164339	0	164339	29458818	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"PLACR_Astle_27863252_1"
"RBCW_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"RBCW"	"Red Blood Cell Distribution Width"	"BMK"	171529	0	171529	29479507	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"RBCW_Astle_27863252_1"
"RETC_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"RETC"	"Reticulocyte count"	"BMK"	170494	0	170494	NA	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"RETC_Astle_27863252_1"
"RETFRC_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"RETFRC"	"Reticulocyte fraction of red cells"	"BMK"	170690	0	170690	29476020	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"RETFRC_Astle_27863252_1"
"BANEC_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"BANEC"	"Sum of Basophil and Neutrophil counts"	"BMK"	170143	0	170143	29476263	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"BANEC_Astle_27863252_1"
"EOBAC_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"EOBAC"	"Sum of Eosinophil and Basophil Counts"	"BMK"	171771	0	171771	29480566	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"EOBAC_Astle_27863252_1"
"NEEOC_Astle_27863252_1-hg38.tsv.gz"	"Astle"	2016	"27863252"	"NEEOC"	"sum of neutrophil and eosinophil counts"	"BMK"	170384	0	170384	29478023	"Multiple (UKBB data & others)"	"European (UK)"	"Astle"	"NEEOC_Astle_27863252_1"
"PSO_Aterido_26743605_1-fc.tsv.gz"	"Aterido"	2016	26743605	"PSO"	"Psoriasis vulgaris"	"IMD"	1553	1263	2816	541927	"Illumina Quad610 Beadchips"	"European (Spanish)"	NA	"PSO_Aterido_26743605_1"
"PSA_Aterido_30552173_1-hg38.tsv.gz"	"Aterido"	2019	"30552173"	"PSA"	"Psoriatic Arthritis"	"IMD"	1454	744	2198	9561724	NA	"European (Spanish)"	NA	"PSA_Aterido_30552173_1"
"PSA_Aterido_30552173_2-hg38.tsv.gz"	"Aterido"	2019	"30552173"	"PSA"	"Psoriatic Arthritis"	"IMD"	1417	1430	2847	9561724	NA	"European (North America)"	NA	"PSA_Aterido_30552173_2"
"MS_Baranzini_19010793_1-hc.tsv.gz"	"Baranzini"	2009	19010793	"MS"	"Multiple Sclerosis"	"IMD"	882	978	1860	514575	"Illumina Sentrix Human-Hap550 BeadChip platform"	"European"	NA	"MS_Baranzini_19010793_1"
"T1D_Barrett_19430480_1-fc.tsv.gz"	"Barrett"	2009	19430480	"T1D"	"Type 1 Diabetes"	"IMD"	3999	3983	7982	503181	"Illumina 550K Infinium/Affymetrix GeneChip Human Mapping 500K Array/Affymetrix Genome-wide Human SNP Array 5.0"	"European"	NA	"T1D_Barrett_19430480_1"
"SLE_Bentham_26502338_1-hg38.tsv.gz"	"Bentham"	2015	"26502338"	"SLE"	"Systemic Lupus Erythematosus"	"IMD"	9066	5201	14267	7914824	NA	"European"	NA	"SLE_Bentham_26502338_1"
"T2D_BonasGuarch_29358691_1-hg38.tsv.gz"	"BonasGuarch"	2018	29358691	"T2D"	"Type 2 Diabetes"	"OTH"	57196	12931	70127	14292610	NA	"European"	NA	"T2D_BonasGuarch_29358691_1"
"RD_Boutin_31816047_1-hg38.tsv.gz"	"Boutin"	2019	31816047	"RD"	"Retinal detachment"	"OTH"	379938	6141	386079	7552905	"Multiple (UKBB data & others)"	"European (UK)"	NA	"RD_Boutin_31816047_1"
"T1D_Bradfield_21980299_1-hc.tsv.gz"	"Bradfield"	2011	21980299	"T1D"	"Type 1 Diabetes"	"IMD"	16956	9934	26890	2060881	NA	"European"	NA	"T1D_Bradfield_21980299_1"
"CD_Brant_27693347_1-hg38.tsv.gz"	"Brant"	2017	27693347	"CD"	"Crohn's Disease"	"IMD"	5002	1646	6648	11386981	NA	"African (African Americans)"	NA	"CD_Brant_27693347_1"
"IBD_Brant_27693347_1-hg38.tsv.gz"	"Brant"	2017	27693347	"IBD"	"Inflammatory Bowel Disease"	"IMD"	5002	116	5118	11390043	NA	"African (African Americans)"	NA	"IBD_Brant_27693347_1"
"UC_Brant_27693347_1-hg38.tsv.gz"	"Brant"	2017	27693347	"UC"	"Ulcerative Colitis"	"IMD"	5002	583	5585	11383386	NA	"African (African Americans)"	NA	"UC_Brant_27693347_1"
"IGAD_Bronson_27723758_1-hg38.tsv.gz"	"Bronson"	2016	27723758	"IGAD"	"IgA deficiency"	"IMD"	4852	1635	6487	9464382	NA	"European"	NA	"IGAD_Bronson_27723758_1"
"MDD_CONVERGE_26176920_1-hg38.tsv.gz"	"CONVERGE"	2015	26176920	"MDD"	"Major Depression Disorder"	"PSD"	5337	5303	10640	6242619	NA	"East Asian (Chinese)"	NA	"MDD_CONVERGE_26176920_1"
"T1D_Cooper_doi101101120022_1-hg38.tsv.gz"	"Cooper"	2017	"doi101101120022"	"T1D"	"Type 1 Diabetes"	"IMD"	8828	5913	14741	9037957	"Multiple"	"European"	NA	"T1D_Cooper_doi101101120022_1"
"PBC_Cordell_26394269_1-hg38.tsv.gz"	"Cordell"	2015	"26394269"	"PBC"	"Primary Biliary Cholangitis"	"IMD"	10475	2764	13239	1134126	NA	"European"	NA	"PBC_Cordell_26394269_1"
"ANS_Cortes_23749187_1-hg38.tsv.gz"	"Cortes"	2013	23749187	"ANS"	"Ankylosing Spondylitis"	"IMD"	15145	10619	25764	117526	"ImmunoChip"	"Trans-ethnic (European + East Asian + Latin American)"	NA	"ANS_Cortes_23749187_1"
"LADA_Cousminer_30254083_1-hg38.tsv.gz"	"Cousminer"	2018	"30254083"	"LADA"	"Latent Autoimmune Diabetes in Adults"	"IMD"	5947	2634	8581	5194099	NA	"European"	NA	"LADA_Cousminer_30254083_1"
"COVID19hosp_COVID19HGI_20200508_1-hg38.tsv.gz"	"COVID19HGI"	2020	20200508	"COVID19hosp"	"COVID-19 Hospitalization vs. non-hospitalised COVID19"	"INF"	616	716	1332	NA	"Multiple (UKBB data & others)"	"Trans-ethnic"	"COVID19"	"COVID19hosp_COVID19HGI_20200508_1"
